generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
0,3.565400,3.565400,901.07,901.07
1,3.610200,3.610200,944.51,1845.58
2,3.773000,3.773000,948.50,2794.09
3,3.953200,3.953200,915.02,3709.11
4,4.155200,4.155200,958.52,4667.63
5,4.155200,3.991800,943.60,5611.22
6,4.155200,4.019400,919.10,6530.32
7,4.155200,4.096400,952.03,7482.36
8,4.155200,4.124000,953.45,8435.81
9,4.197400,4.197400,957.56,9393.38
10,4.252600,4.252600,952.77,10346.14
11,4.425000,4.425000,954.74,11300.89
12,4.477000,4.477000,960.13,12261.01
13,4.584800,4.584800,957.87,13218.88
14,4.850400,4.850400,965.31,14184.19
15,4.923000,4.923000,954.45,15138.64
16,5.231200,5.231200,964.14,16102.78
17,5.231200,4.810000,958.23,17061.01
18,5.231200,4.972200,965.47,18026.48
19,5.231200,5.123400,959.97,18986.45
20,5.231200,5.079800,970.37,19956.82
21,5.231200,5.082800,955.51,20912.34
22,5.231200,5.200000,965.90,21878.23
23,5.231200,5.223800,973.06,22851.29
24,5.331400,5.331400,971.92,23823.21
25,5.331400,5.175400,973.30,24796.51
26,5.331400,5.313600,964.32,25760.84
27,5.331400,5.258600,968.00,26728.84
28,5.430600,5.430600,977.35,27706.19
29,5.430600,5.324000,936.56,28642.75
30,5.614600,5.614600,126.68,28769.43
31,5.614600,5.500600,127.42,28896.84
32,5.614600,5.374800,130.25,29027.09
33,5.614600,5.408400,129.62,29156.72
34,5.614600,5.424000,128.47,29285.18
35,5.614600,5.445800,131.43,29416.62
36,5.701600,5.701600,129.93,29546.55
37,5.750000,5.750000,126.43,29672.98
38,5.750000,5.628400,124.80,29797.78
39,6.023800,6.023800,158.24,29956.02
40,6.023800,5.899200,129.72,30085.74
41,6.023800,5.938000,133.96,30219.70
42,6.023800,5.808200,129.50,30349.20
43,6.023800,5.794800,126.64,30475.84
44,6.023800,5.778800,119.94,30595.78
45,6.023800,5.831800,119.82,30715.60
46,6.023800,5.979800,121.44,30837.04
47,6.032400,6.032400,121.42,30958.47
48,6.032400,5.911600,120.61,31079.08
49,6.032400,5.893400,120.50,31199.58
50,6.032400,5.903400,122.72,31322.29
51,6.032400,5.872000,119.59,31441.88
52,6.107000,6.107000,119.85,31561.74
53,6.107000,5.905800,124.75,31686.48
54,6.107000,6.043200,127.52,31814.00
55,6.275600,6.275600,127.46,31941.46
56,6.275600,6.230000,124.90,32066.36
57,6.275600,6.055000,122.24,32188.60
58,6.275600,6.256200,120.55,32309.15
59,6.464400,6.464400,120.56,32429.71
60,6.464400,6.329400,119.19,32548.90
61,6.464400,6.288600,121.15,32670.04
62,6.464400,6.303200,125.19,32795.23
63,6.464400,6.353400,122.21,32917.44
64,6.488000,6.488000,123.33,33040.77
65,6.488000,6.348200,122.42,33163.20
66,6.488000,6.483400,122.90,33286.09
67,6.488000,6.385000,121.38,33407.48
68,6.488000,6.318400,120.07,33527.54
69,6.488000,6.365400,121.65,33649.19
70,6.488000,6.448800,119.49,33768.68
71,6.488000,6.318200,122.95,33891.64
72,6.488000,6.452400,120.65,34012.29
73,6.488000,6.368000,125.44,34137.73
74,6.488000,6.226200,127.78,34265.51
75,6.488000,6.344000,127.89,34393.40
76,6.488000,6.461000,126.05,34519.45
77,6.488000,6.467000,126.11,34645.56
78,6.488000,6.442800,159.15,34804.71
79,6.586200,6.586200,125.59,34930.30
80,6.586200,6.568600,127.61,35057.92
81,6.586200,6.486400,128.56,35186.47
82,6.586200,6.482600,130.87,35317.34
83,6.718000,6.718000,128.22,35445.56
84,6.718000,6.611000,125.98,35571.54
85,6.718000,6.600200,126.47,35698.01
86,6.755000,6.755000,126.43,35824.44
87,6.755000,6.727400,126.96,35951.40
88,6.755000,6.607200,125.83,36077.23
89,6.893000,6.893000,127.74,36204.97
90,6.893000,6.782800,127.97,36332.94
91,6.893000,6.633600,128.23,36461.16
92,6.893000,6.791200,128.09,36589.26
93,6.893000,6.736400,123.58,36712.84
94,6.893000,6.867200,120.49,36833.33
95,6.896400,6.896400,124.62,36957.95
96,6.953800,6.953800,125.14,37083.08
97,7.021400,7.021400,124.36,37207.45
98,7.134400,7.134400,126.97,37334.42
99,7.134400,6.987200,124.26,37458.69
100,7.134400,6.953600,132.23,37590.91
101,7.159600,7.159600,137.28,37728.19
102,7.187000,7.187000,124.90,37853.09
103,7.187000,7.063800,124.71,37977.79
104,7.187000,7.133600,124.88,38102.67
105,7.233600,7.233600,123.30,38225.97
106,7.233600,7.149200,123.19,38349.17
107,7.233600,7.173400,122.82,38471.99
108,7.233600,7.164000,125.64,38597.63
109,7.237600,7.237600,122.97,38720.60
110,7.315400,7.315400,124.02,38844.62
111,7.315400,7.315200,123.13,38967.75
112,7.315400,7.286000,123.89,39091.64
113,7.348800,7.348800,127.94,39219.59
114,7.348800,7.330800,127.05,39346.64
115,7.357200,7.357200,124.68,39471.31
116,7.357200,7.318200,125.99,39597.31
117,7.388000,7.388000,158.93,39756.24
118,7.388000,7.335200,125.18,39881.41
119,7.405600,7.405600,125.44,40006.85
120,7.405600,7.323800,126.32,40133.17
121,7.405600,7.260200,126.95,40260.12
122,7.405600,7.377600,129.68,40389.81
123,7.405600,7.396000,122.69,40512.50
124,7.405600,7.372200,125.37,40637.87
125,7.405600,7.348200,126.44,40764.31
126,7.405600,7.350400,124.88,40889.19
127,7.462600,7.462600,121.38,41010.57
128,7.462600,7.458400,122.07,41132.63
129,7.554200,7.554200,123.42,41256.05
130,7.554200,7.502600,121.03,41377.08
131,7.554200,7.442200,121.79,41498.88
132,7.554200,7.501600,121.60,41620.48
133,7.554200,7.520400,121.94,41742.42
134,7.582000,7.582000,121.21,41863.64
135,7.582000,7.555200,119.78,41983.42
136,7.599400,7.599400,121.23,42104.65
137,7.599400,7.583200,120.02,42224.67
138,7.606800,7.606800,119.17,42343.85
139,7.637600,7.637600,121.29,42465.13
140,7.637600,7.629400,119.86,42584.99
141,7.637600,7.623600,122.68,42707.67
142,7.671000,7.671000,121.67,42829.34
143,7.737600,7.737600,123.23,42952.57
144,7.795200,7.795200,121.52,43074.09
145,7.795200,7.739200,121.76,43195.85
146,7.795200,7.759200,121.48,43317.33
147,7.795200,7.724000,121.13,43438.46
148,7.795200,7.743200,123.33,43561.79
149,7.795200,7.694600,120.98,43682.77
150,7.795200,7.722400,123.75,43806.52
151,7.795200,7.718400,121.34,43927.87
152,7.795200,7.714600,120.38,44048.25
153,7.795200,7.718200,121.23,44169.48
154,7.795200,7.740800,120.23,44289.71
155,7.795200,7.728000,121.43,44411.14
156,7.795200,7.778400,153.53,44564.67
157,7.803200,7.803200,119.97,44684.64
158,7.803200,7.741400,119.92,44804.56
159,7.814800,7.814800,121.24,44925.80
160,7.836200,7.836200,122.31,45048.11
161,7.836200,7.774400,121.36,45169.48
162,7.898000,7.898000,120.44,45289.92
163,7.898000,7.859800,120.52,45410.44
164,7.898000,7.832600,121.35,45531.79
165,7.898000,7.890600,121.49,45653.28
166,7.919200,7.919200,119.50,45772.77
167,7.919200,7.865000,121.40,45894.17
168,7.919200,7.855400,120.72,46014.89
169,7.939600,7.939600,121.53,46136.43
170,7.939600,7.818200,120.57,46256.99
171,7.939600,7.842000,125.56,46382.56
172,7.939600,7.908800,123.05,46505.60
173,7.939600,7.848400,121.41,46627.01
