generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
0,3.462200,3.462200,115.34,115.34,
1,3.732800,3.732800,119.15,234.50,
2,3.732800,3.663600,120.72,355.22,
3,3.914600,3.914600,119.00,474.21,
4,4.103400,4.103400,118.65,592.86,
5,4.132600,4.132600,117.94,710.80,
6,4.215600,4.215600,118.92,829.73,
7,4.328000,4.328000,119.86,949.59,
8,4.355200,4.355200,127.47,1077.05,
9,4.590800,4.590800,119.10,1196.16,
10,4.763200,4.763200,119.77,1315.92,
11,4.892800,4.892800,118.99,1434.91,
12,5.287800,5.287800,120.94,1555.85,
13,5.287800,5.233800,119.82,1675.67,
14,5.287800,5.208400,121.68,1797.34,
15,5.318800,5.318800,113.44,1910.78,
16,5.354800,5.354800,119.43,2030.21,
17,5.734800,5.734800,114.55,2144.77,
18,5.741200,5.741200,114.12,2258.89,
19,5.767800,5.767800,118.56,2377.45,
20,5.767800,5.709200,121.88,2499.33,
21,5.831000,5.831000,120.55,2619.89,
22,5.910600,5.910600,122.59,2742.47,
23,6.069200,6.069200,121.80,2864.28,
24,6.069200,6.033200,127.69,2991.97,
25,6.280200,6.280200,122.53,3114.50,
26,6.310800,6.310800,116.38,3230.88,
27,6.310800,6.264000,114.75,3345.64,
28,6.469600,6.469600,115.71,3461.35,
29,6.538200,6.538200,113.87,3575.22,
30,6.566800,6.566800,115.35,3690.57,
31,6.637000,6.637000,115.73,3806.30,
32,6.968000,6.968000,121.25,3927.55,
33,6.968000,6.852400,113.94,4041.49,
34,6.968000,6.904600,115.29,4156.79,
35,6.986000,6.986000,115.88,4272.66,
36,7.026800,7.026800,114.75,4387.41,
37,7.223400,7.223400,116.28,4503.69,
38,7.223400,7.014600,115.11,4618.80,
39,7.223400,7.155600,115.15,4733.95,
40,7.223400,7.199800,121.17,4855.12,
41,7.223400,7.215800,115.51,4970.64,
42,7.297800,7.297800,115.56,5086.19,
43,7.335400,7.335400,118.37,5204.56,
44,7.335400,7.301800,115.61,5320.17,
45,7.446600,7.446600,116.68,5436.86,
46,7.446600,7.402000,115.58,5552.44,
47,7.478400,7.478400,115.09,5667.53,
48,7.497800,7.497800,122.73,5790.26,
49,7.648200,7.648200,116.15,5906.40,
50,7.648200,7.563200,116.40,6022.80,
51,7.648200,7.590800,116.77,6139.58,
52,7.648200,7.627200,116.35,6255.92,
53,7.684800,7.684800,116.25,6372.17,
54,7.737400,7.737400,117.95,6490.12,
55,7.851800,7.851800,117.29,6607.41,
56,7.851800,7.752600,122.22,6729.63,
57,7.851800,7.844400,116.14,6845.77,
58,7.851800,7.836800,121.16,6966.93,
59,7.871800,7.871800,123.90,7090.83,
60,7.890600,7.890600,123.10,7213.93,
61,7.928600,7.928600,124.95,7338.88,
62,7.928600,7.888200,123.70,7462.58,
63,7.928600,7.883800,123.39,7585.97,
64,7.948800,7.948800,129.78,7715.75,
65,7.948800,7.929400,118.54,7834.30,
66,8.017200,8.017200,115.00,7949.30,
67,8.032400,8.032400,117.67,8066.97,
68,8.032400,8.000000,116.15,8183.12,
69,8.032400,8.007200,116.86,8299.98,
70,8.045600,8.045600,116.80,8416.78,
71,8.111000,8.111000,116.36,8533.14,
72,8.125400,8.125400,121.62,8654.76,
73,8.141600,8.141600,116.92,8771.69,
74,8.141600,8.110200,115.74,8887.43,
75,8.154800,8.154800,122.19,9009.62,
76,8.169600,8.169600,123.91,9133.53,
77,8.204600,8.204600,124.96,9258.49,
78,8.218000,8.218000,124.35,9382.84,
79,8.225000,8.225000,123.24,9506.08,
80,8.228600,8.228600,129.98,9636.06,
81,8.228600,8.222000,123.99,9760.05,
82,8.272000,8.272000,119.71,9879.76,
83,8.272000,8.268000,116.57,9996.33,
84,8.281400,8.281400,117.94,10114.27,
85,8.281400,8.248200,124.22,10238.49,
86,8.358000,8.358000,126.60,10365.09,
87,8.358800,8.358800,124.32,10489.41,
88,8.358800,8.302200,129.63,10619.04,
89,8.358800,8.343800,124.37,10743.41,
90,8.358800,8.349800,127.96,10871.37,
91,8.358800,8.342800,127.58,10998.94,
92,8.394000,8.394000,123.87,11122.82,
93,8.394000,8.339600,123.43,11246.25,
94,8.394000,8.318400,124.71,11370.96,
95,8.394000,8.361400,124.28,11495.24,
96,8.426800,8.426800,129.89,11625.13,
97,8.426800,8.389800,123.31,11748.44,
98,8.456200,8.456200,123.26,11871.71,
99,8.456200,8.390600,124.34,11996.04,
