generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
0,2.245400,2.245400,77.73,77.73,
1,2.367000,2.367000,79.59,157.32,
2,2.459400,2.459400,79.53,236.85,
3,2.459400,2.388600,78.89,315.74,
4,2.801800,2.801800,80.60,396.33,
5,2.842600,2.842600,80.35,476.68,
6,2.842600,2.502200,80.31,556.99,
7,2.842600,2.489800,80.55,637.54,
8,2.842600,2.839600,79.45,717.00,
9,3.222000,3.222000,81.56,798.56,
10,3.222000,2.924600,81.94,880.50,
11,3.222000,2.776200,81.28,961.78,
12,3.222000,2.787400,80.26,1042.05,
13,3.222000,2.645800,80.54,1122.59,
14,3.471000,3.471000,80.97,1203.56,
15,3.471000,3.146600,80.80,1284.36,
16,3.471000,2.898400,82.10,1366.46,
17,3.593000,3.593000,81.06,1447.52,
18,3.593000,3.125800,79.73,1527.24,
19,3.593000,3.297600,81.05,1608.29,
20,3.625400,3.625400,79.54,1687.84,
21,3.625400,3.388000,81.65,1769.49,
22,3.625400,3.481800,80.78,1850.26,
23,3.625400,3.240000,81.15,1931.41,
24,3.625400,2.854400,80.63,2012.05,
25,3.625400,2.908800,81.97,2094.02,
26,3.625400,3.486000,80.00,2174.02,
27,3.625400,3.589800,81.73,2255.75,
28,3.625400,3.474600,79.66,2335.41,
29,3.668400,3.668400,80.58,2415.99,
30,3.668400,3.309200,79.89,2495.88,
31,3.668400,3.261200,81.20,2577.08,
32,3.668400,3.568600,98.45,2675.52,
33,3.668400,3.513400,79.97,2755.50,
34,3.668400,3.455800,80.50,2836.00,
35,3.668400,3.246800,80.15,2916.15,
36,3.668400,2.724000,80.13,2996.28,
37,3.968000,3.968000,81.06,3077.34,
38,3.968000,3.479800,80.70,3158.05,
39,3.968000,3.966200,80.85,3238.90,
40,3.968000,3.963200,80.75,3319.65,
41,3.968000,3.926400,80.93,3400.58,
42,4.022400,4.022400,81.22,3481.80,
43,4.055600,4.055600,81.26,3563.06,
44,4.055600,3.979600,81.09,3644.15,
45,4.055600,3.947200,81.77,3725.92,
46,4.435600,4.435600,80.96,3806.89,
47,4.435600,3.687200,81.51,3888.40,
48,4.435600,3.742000,80.41,3968.80,
49,4.435600,4.177400,81.72,4050.52,
50,4.435600,3.787800,80.85,4131.37,
51,4.435600,4.288200,82.06,4213.43,
52,4.435600,3.733200,81.81,4295.24,
53,4.588000,4.588000,81.73,4376.97,
54,4.588000,4.195400,81.42,4458.38,
55,4.588000,3.525600,81.22,4539.60,
56,4.588000,4.129600,82.01,4621.61,
57,4.588000,3.730400,81.91,4703.52,
58,4.588000,4.172200,81.58,4785.10,
59,4.909000,4.909000,81.72,4866.82,
60,4.909000,3.925800,81.12,4947.94,
61,4.909000,3.992200,82.54,5030.47,
62,4.909000,3.709800,82.86,5113.34,
63,4.909000,4.791000,86.20,5199.54,
64,4.909000,3.734600,98.62,5298.16,
65,4.909000,4.300800,83.13,5381.29,
66,4.909000,4.026200,83.19,5464.47,
67,4.909000,4.323600,81.53,5546.01,
68,4.909000,4.615400,81.20,5627.20,
69,4.909000,3.589600,80.86,5708.06,
70,4.909000,4.117600,80.77,5788.83,
71,4.909000,3.991000,81.86,5870.69,
72,4.909000,4.075000,80.85,5951.55,
73,4.909000,4.246800,82.19,6033.74,
74,4.909000,4.127400,81.46,6115.20,
75,4.909000,4.166800,81.92,6197.11,
76,4.909000,3.655200,81.15,6278.27,
77,4.909000,4.034000,81.78,6360.04,
78,4.909000,4.473400,82.34,6442.39,
79,4.909000,4.837800,80.43,6522.82,
80,4.909000,3.802000,84.63,6607.45,
81,4.909000,4.326400,82.35,6689.80,
82,4.909000,4.033200,81.60,6771.40,
83,4.909000,4.236800,81.61,6853.02,
84,4.909000,4.196000,81.71,6934.73,
85,4.909000,3.716200,81.26,7015.99,
86,4.909000,3.879200,81.81,7097.80,
87,4.909000,4.629600,81.15,7178.95,
88,4.909000,4.164400,81.87,7260.82,
89,4.909000,4.129200,81.28,7342.10,
90,4.909000,3.995400,80.36,7422.46,
91,4.909000,3.975200,80.63,7503.09,
92,4.909000,4.238400,81.97,7585.06,
93,4.909000,3.755600,81.44,7666.50,
94,4.909000,4.103600,82.19,7748.69,
95,4.909000,3.523200,80.70,7829.39,
96,4.909000,4.037000,99.54,7928.93,
97,4.909000,3.609000,81.62,8010.55,
98,4.909000,4.256000,82.28,8092.83,
99,4.909000,4.378200,82.14,8174.97,
100,4.909000,4.107200,82.53,8257.51,
101,4.909000,4.820400,81.31,8338.82,
102,4.909000,4.128800,84.26,8423.08,
103,4.909000,4.811200,82.32,8505.40,
104,4.909000,4.259000,82.19,8587.59,
105,4.909000,4.198800,81.19,8668.78,
106,4.909000,4.682400,82.65,8751.43,
107,4.909000,4.117200,81.06,8832.49,
108,4.909000,4.700600,81.52,8914.01,
109,4.909000,3.866200,81.42,8995.44,
110,4.909000,3.812800,81.98,9077.42,
111,4.909000,4.367400,81.97,9159.39,
112,4.909000,4.529000,82.88,9242.26,
113,4.909000,4.155200,81.11,9323.38,
114,4.909000,4.394000,82.12,9405.50,
115,4.909000,4.474400,81.69,9487.19,
116,4.909000,3.832600,80.56,9567.75,
117,4.909000,4.174400,81.55,9649.29,
118,4.909000,3.698600,82.34,9731.63,
119,4.909000,4.080800,81.30,9812.93,
120,4.909000,3.772000,81.44,9894.37,
121,4.909000,4.058400,81.47,9975.84,
122,4.909000,4.335600,81.75,10057.59,
123,4.909000,4.323800,81.03,10138.62,
124,4.909000,4.455400,82.02,10220.63,
125,4.909000,3.761400,81.02,10301.65,
126,4.909000,3.779400,81.77,10383.42,
127,4.909000,4.336200,81.73,10465.15,
128,4.909000,4.246600,96.97,10562.12,
129,4.909000,4.871200,81.72,10643.84,
130,4.909000,4.403000,81.45,10725.29,
131,5.297000,5.297000,82.06,10807.35,
132,5.297000,4.081400,81.81,10889.16,
133,5.297000,3.820800,82.13,10971.29,
134,5.297000,4.029200,81.33,11052.62,
135,5.297000,4.424000,81.43,11134.06,
136,5.297000,3.673800,80.05,11214.11,
137,5.297000,4.783000,82.73,11296.84,
138,5.297000,4.313800,81.59,11378.43,
139,5.297000,4.565200,81.73,11460.16,
140,5.297000,4.051400,81.31,11541.47,
141,5.297000,4.459400,82.19,11623.66,
142,5.297000,4.430400,81.21,11704.87,
143,5.297000,4.580200,82.10,11786.97,
144,5.297000,4.557800,81.54,11868.51,
145,5.297000,4.359000,82.37,11950.88,
146,5.297000,4.339600,81.42,12032.30,
147,5.297000,5.010600,81.06,12113.36,
148,5.297000,4.627400,81.54,12194.90,
