generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
0,3.488000,3.488000,111.09,111.09,
1,3.488000,3.483800,117.71,228.80,
2,3.577000,3.577000,125.83,354.64,
3,3.659200,3.659200,125.97,480.61,
4,3.835400,3.835400,116.02,596.63,
5,3.835400,3.830000,116.49,713.12,
6,3.975800,3.975800,115.43,828.55,
7,4.062200,4.062200,114.55,943.10,
8,4.204200,4.204200,114.68,1057.78,
9,4.348000,4.348000,113.62,1171.39,
10,4.348000,4.271000,115.08,1286.48,
11,4.348000,4.305800,114.43,1400.91,
12,4.467400,4.467400,116.06,1516.97,
13,4.619200,4.619200,115.25,1632.22,
14,4.619200,4.471400,114.61,1746.84,
15,4.651000,4.651000,114.30,1861.14,
16,4.651000,4.534000,115.45,1976.59,
17,4.701200,4.701200,114.22,2090.81,
18,4.734200,4.734200,114.90,2205.71,
19,4.734200,4.654400,115.17,2320.88,
20,4.996600,4.996600,113.68,2434.56,
21,4.996600,4.930400,114.48,2549.04,
22,4.996600,4.878200,113.74,2662.77,
23,4.996600,4.966600,114.22,2777.00,
24,5.062800,5.062800,114.41,2891.40,
25,5.062800,5.047400,116.37,3007.78,
26,5.183600,5.183600,115.72,3123.49,
27,5.334000,5.334000,116.07,3239.56,
28,5.334000,5.192800,114.95,3354.51,
29,5.334000,5.324200,115.20,3469.71,
30,5.334000,5.268200,115.43,3585.14,
31,5.409400,5.409400,115.60,3700.74,
32,5.457200,5.457200,121.75,3822.49,
33,5.457200,5.340600,117.79,3940.28,
34,5.457200,5.373200,116.19,4056.47,
35,5.471000,5.471000,114.72,4171.19,
36,5.518800,5.518800,112.87,4284.07,
37,5.679200,5.679200,115.68,4399.75,
38,5.713600,5.713600,118.72,4518.47,
39,5.713600,5.665800,150.16,4668.63,
40,5.713600,5.672200,114.35,4782.98,
41,5.729000,5.729000,115.30,4898.29,
42,5.950000,5.950000,117.62,5015.90,
43,5.950000,5.700400,116.13,5132.04,
44,5.950000,5.751000,118.01,5250.05,
45,5.999800,5.999800,118.49,5368.54,
46,5.999800,5.957600,115.75,5484.29,
47,6.133200,6.133200,118.54,5602.83,
48,6.133200,6.014200,117.03,5719.86,
49,6.133200,6.121800,115.76,5835.62,
50,6.150800,6.150800,115.27,5950.90,
51,6.150800,6.079600,115.90,6066.80,
52,6.191200,6.191200,116.16,6182.96,
53,6.191200,5.979400,114.17,6297.13,
54,6.191200,6.001800,116.48,6413.61,
55,6.191200,6.084400,114.15,6527.76,
56,6.211800,6.211800,115.05,6642.81,
57,6.211800,5.971800,113.97,6756.78,
58,6.211800,5.919000,119.20,6875.97,
59,6.211800,6.090200,115.74,6991.71,
60,6.211800,6.084800,115.81,7107.52,
61,6.211800,6.135000,117.29,7224.81,
62,6.211800,6.133400,114.77,7339.58,
63,6.236000,6.236000,115.76,7455.35,
64,6.236000,6.174200,115.81,7571.15,
65,6.236000,6.164600,116.05,7687.21,
66,6.236000,6.233600,115.31,7802.51,
67,6.236000,6.154000,118.08,7920.60,
68,6.405000,6.405000,115.80,8036.39,
69,6.405000,6.304400,115.50,8151.89,
70,6.405000,6.358600,116.85,8268.74,
71,6.405000,6.342000,116.51,8385.25,
72,6.446200,6.446200,115.76,8501.01,
73,6.446200,6.357800,118.92,8619.93,
74,6.446200,6.226200,116.04,8735.97,
75,6.446200,6.437800,117.63,8853.60,
76,6.446200,6.294000,116.63,8970.23,
77,6.446200,6.307600,116.98,9087.21,
78,6.446200,6.401600,148.15,9235.36,
79,6.446200,6.415000,116.05,9351.41,
80,6.454600,6.454600,115.12,9466.53,
81,6.454600,6.428400,114.45,9580.98,
82,6.691800,6.691800,116.16,9697.14,
83,6.691800,6.469000,124.91,9822.06,
84,6.691800,6.548200,114.47,9936.53,
85,6.691800,6.665000,116.33,10052.86,
86,6.691800,6.598400,115.96,10168.82,
87,6.691800,6.524200,117.25,10286.07,
88,6.691800,6.684000,115.80,10401.86,
89,6.691800,6.585200,116.52,10518.38,
90,6.691800,6.545600,116.26,10634.64,
91,6.691800,6.666600,116.35,10750.99,
92,6.798400,6.798400,115.25,10866.25,
93,6.798400,6.659600,116.82,10983.07,
94,6.824200,6.824200,118.14,11101.21,
95,6.824200,6.778000,115.95,11217.16,
96,6.969800,6.969800,118.55,11335.71,
97,6.969800,6.749800,115.75,11451.46,
98,6.969800,6.827400,115.45,11566.91,
99,6.969800,6.965600,115.04,11681.95,
100,6.969800,6.930400,116.00,11797.95,
101,6.969800,6.931000,115.87,11913.82,
102,7.074000,7.074000,117.16,12030.98,
103,7.074000,7.069200,117.15,12148.14,
104,7.074000,7.062800,116.40,12264.53,
105,7.074000,7.064200,115.69,12380.22,
106,7.074000,7.065600,117.21,12497.44,
107,7.112400,7.112400,114.91,12612.34,
108,7.203200,7.203200,116.70,12729.04,
109,7.203200,7.088400,117.90,12846.94,
110,7.203200,7.188000,117.14,12964.08,
111,7.203800,7.203800,117.23,13081.31,
112,7.224200,7.224200,116.69,13198.00,
113,7.224200,7.190200,118.32,13316.31,
114,7.308000,7.308000,116.50,13432.82,
115,7.308000,7.212000,116.67,13549.49,
116,7.308000,7.250200,117.14,13666.63,
117,7.308000,7.255600,149.16,13815.79,
118,7.308000,7.270200,116.34,13932.13,
119,7.339000,7.339000,116.70,14048.83,
120,7.339000,7.291600,117.95,14166.78,
121,7.339000,7.270200,117.04,14283.82,
122,7.339000,7.309000,117.41,14401.23,
123,7.402800,7.402800,117.29,14518.52,
124,7.410000,7.410000,116.79,14635.32,
125,7.410000,7.353400,116.36,14751.68,
126,7.410000,7.331400,115.37,14867.04,
127,7.410000,7.367200,116.93,14983.97,
128,7.410000,7.361800,117.04,15101.01,
129,7.410000,7.363600,117.12,15218.13,
130,7.410000,7.358200,116.00,15334.13,
131,7.443000,7.443000,117.70,15451.83,
132,7.443000,7.367800,116.69,15568.52,
133,7.443000,7.435400,115.67,15684.18,
134,7.494600,7.494600,116.23,15800.41,
135,7.494600,7.467600,117.02,15917.42,
136,7.494600,7.458000,115.76,16033.18,
137,7.494600,7.446600,116.92,16150.10,
138,7.559000,7.559000,116.78,16266.89,
139,7.559000,7.478400,116.32,16383.21,
140,7.559000,7.481800,116.54,16499.75,
141,7.590200,7.590200,117.13,16616.89,
142,7.590200,7.589800,118.47,16735.36,
143,7.590200,7.576400,116.77,16852.13,
144,7.590200,7.528200,117.52,16969.65,
145,7.590200,7.480200,115.42,17085.07,
146,7.590200,7.497200,116.71,17201.78,
147,7.595200,7.595200,116.38,17318.16,
148,7.595200,7.520200,118.87,17437.03,
149,7.602200,7.602200,116.57,17553.60,
150,7.602200,7.582400,116.58,17670.18,
151,7.609000,7.609000,116.72,17786.90,
152,7.609000,7.530000,118.83,17905.73,
153,7.609000,7.576000,116.56,18022.29,
154,7.609000,7.461800,117.75,18140.04,
155,7.609000,7.497400,114.06,18254.10,
156,7.609000,7.482000,146.47,18400.57,
157,7.609000,7.561000,118.59,18519.16,
158,7.609000,7.481800,117.47,18636.63,
159,7.609000,7.561400,115.81,18752.44,
160,7.609000,7.498800,116.34,18868.77,
161,7.609000,7.531800,116.49,18985.26,
162,7.609000,7.551600,118.33,19103.59,
163,7.609000,7.551600,117.24,19220.83,
164,7.609000,7.553800,117.60,19338.44,
165,7.609000,7.582000,117.38,19455.82,
166,7.642200,7.642200,118.56,19574.38,
167,7.642200,7.597600,118.09,19692.47,
168,7.642200,7.536000,116.58,19809.06,
169,7.642200,7.609800,118.33,19927.39,
170,7.642200,7.506400,117.01,20044.40,
171,7.642200,7.490600,117.16,20161.56,
172,7.642200,7.589800,117.81,20279.37,
