generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
0,5.876000,5.876000,449.21,449.21
1,5.876000,5.756000,465.19,914.40
2,5.876000,5.736000,466.14,1380.54
3,5.876000,5.845000,466.44,1846.98
4,5.876000,5.772000,468.45,2315.43
5,5.960000,5.960000,464.19,2779.63
6,5.960000,5.801000,463.98,3243.61
7,5.960000,5.835000,464.16,3707.77
8,6.150000,6.150000,463.12,4170.89
9,6.210000,6.210000,464.14,4635.03
10,6.210000,6.031000,465.14,5100.16
11,6.210000,5.943000,465.24,5565.40
12,6.210000,6.044000,465.50,6030.90
13,6.210000,6.200000,459.13,6490.03
14,6.210000,6.007000,460.62,6950.65
15,6.210000,6.084000,461.16,7411.81
16,6.210000,6.175000,464.18,7875.99
17,6.403000,6.403000,463.63,8339.62
18,6.511000,6.511000,462.91,8802.52
19,6.511000,6.162000,466.34,9268.86
20,6.511000,6.298000,463.73,9732.59
21,6.511000,6.144000,462.70,10195.29
22,6.511000,6.277000,461.75,10657.04
23,6.511000,6.467000,463.63,11120.66
24,6.511000,6.409000,467.76,11588.42
25,6.511000,6.376000,466.19,12054.61
26,6.511000,6.314000,467.03,12521.64
27,6.511000,6.468000,463.71,12985.36
28,6.763000,6.763000,467.52,13452.88
29,6.763000,6.732000,468.79,13921.67
30,6.773000,6.773000,469.26,14390.93
31,6.773000,6.728000,471.79,14862.72
32,6.773000,6.612000,474.43,15337.15
33,6.773000,6.725000,472.56,15809.72
34,6.869000,6.869000,474.31,16284.02
35,7.002000,7.002000,474.33,16758.35
36,7.002000,6.774000,471.08,17229.44
37,7.002000,6.909000,471.29,17700.72
38,7.002000,6.866000,470.91,18171.64
39,7.002000,6.987000,471.39,18643.03
40,7.031000,7.031000,503.10,19146.12
41,7.031000,7.001000,469.09,19615.22
42,7.031000,6.985000,467.70,20082.91
43,7.031000,7.020000,466.42,20549.34
44,7.031000,7.000000,467.86,21017.19
45,7.055000,7.055000,468.91,21486.10
46,7.094000,7.094000,468.14,21954.24
47,7.094000,7.029000,464.89,22419.14
48,7.140000,7.140000,463.55,22882.69
49,7.149000,7.149000,462.09,23344.77
50,7.176000,7.176000,460.76,23805.53
51,7.261000,7.261000,460.75,24266.28
52,7.261000,7.102000,461.70,24727.99
53,7.261000,7.180000,461.25,25189.24
54,7.261000,7.128000,461.96,25651.20
55,7.261000,7.153000,466.06,26117.26
56,7.261000,7.133000,463.49,26580.76
57,7.261000,7.142000,460.75,27041.51
58,7.261000,7.149000,464.42,27505.93
59,7.261000,7.127000,460.74,27966.67
60,7.261000,7.115000,460.96,28427.63
61,7.261000,7.096000,461.10,28888.74
62,7.261000,7.258000,459.67,29348.41
63,7.261000,7.175000,463.85,29812.26
64,7.261000,7.205000,461.09,30273.35
65,7.261000,7.248000,459.73,30733.08
66,7.261000,7.159000,460.75,31193.83
67,7.294000,7.294000,458.67,31652.50
68,7.294000,7.274000,457.59,32110.09
69,7.304000,7.304000,458.81,32568.90
70,7.310000,7.310000,459.86,33028.76
71,7.313000,7.313000,467.60,33496.37
72,7.313000,7.261000,456.93,33953.29
73,7.313000,7.279000,454.22,34407.52
74,7.313000,7.219000,454.55,34862.07
75,7.313000,7.224000,461.49,35323.56
76,7.313000,7.297000,457.43,35780.98
77,7.313000,7.209000,457.80,36238.79
78,7.313000,7.273000,459.73,36698.51
79,7.313000,7.236000,453.75,37152.27
80,7.313000,7.283000,491.20,37643.47
81,7.313000,7.305000,452.42,38095.89
82,7.368000,7.368000,451.82,38547.71
83,7.368000,7.294000,462.16,39009.87
84,7.368000,7.295000,475.84,39485.72
85,7.368000,7.278000,473.64,39959.35
86,7.368000,7.332000,608.54,40567.89
87,7.383000,7.383000,629.05,41196.94
88,7.383000,7.345000,689.05,41885.99
89,7.383000,7.357000,637.15,42523.13
90,7.387000,7.387000,710.60,43233.73
91,7.433000,7.433000,711.41,43945.14
92,7.433000,7.357000,688.32,44633.46
93,7.433000,7.328000,698.76,45332.22
94,7.433000,7.369000,702.29,46034.51
95,7.433000,7.285000,745.39,46779.91
96,7.433000,7.374000,676.44,47456.35
97,7.433000,7.390000,715.93,48172.28
98,7.433000,7.405000,728.74,48901.03
99,7.433000,7.385000,681.18,49582.21
