generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
0,3.565400,3.565400,127.92,127.92
1,3.565400,3.556200,118.05,245.97
2,3.700400,3.700400,115.32,361.30
3,3.741400,3.741400,114.03,475.33
4,3.800800,3.800800,117.21,592.53
5,3.984600,3.984600,115.74,708.28
6,4.094000,4.094000,114.82,823.09
7,4.094000,4.058000,113.73,936.82
8,4.204400,4.204400,115.08,1051.90
9,4.306800,4.306800,114.81,1166.71
10,4.306800,4.286400,116.32,1283.03
11,4.389000,4.389000,114.78,1397.81
12,4.543200,4.543200,114.95,1512.75
13,4.543200,4.450600,118.29,1631.04
14,4.598400,4.598400,117.18,1748.22
15,4.685800,4.685800,116.18,1864.40
16,4.727000,4.727000,131.78,1996.18
17,4.727000,4.675000,119.48,2115.66
18,4.791400,4.791400,116.94,2232.60
19,4.791400,4.769000,117.64,2350.24
20,4.819200,4.819200,117.23,2467.48
21,4.819200,4.810400,25.89,2493.37
22,4.841400,4.841400,24.72,2518.08
23,4.907600,4.907600,24.55,2542.64
24,4.907600,4.836200,24.80,2567.44
25,4.907600,4.842200,24.29,2591.73
26,5.046000,5.046000,24.62,2616.34
27,5.156600,5.156600,24.89,2641.23
28,5.156600,5.044000,25.82,2667.05
29,5.156600,5.131800,24.75,2691.80
30,5.171600,5.171600,116.46,2808.26
31,5.171600,5.158800,25.28,2833.54
32,5.174200,5.174200,25.06,2858.60
33,5.264000,5.264000,24.58,2883.18
34,5.323200,5.323200,24.43,2907.61
35,5.342600,5.342600,26.38,2933.99
36,5.361200,5.361200,24.60,2958.60
37,5.452200,5.452200,24.57,2983.16
38,5.452200,5.329200,24.33,3007.50
39,5.452200,5.312200,54.70,3062.19
40,5.452200,5.410800,118.85,3181.04
41,5.452200,5.408400,27.31,3208.35
42,5.558600,5.558600,24.77,3233.12
43,5.558600,5.528000,24.26,3257.39
44,5.558600,5.523400,24.06,3281.45
45,5.571600,5.571600,24.10,3305.55
46,5.589200,5.589200,24.28,3329.82
47,5.589200,5.475600,24.62,3354.44
48,5.589200,5.580000,24.16,3378.61
49,5.689600,5.689600,24.33,3402.94
50,5.689600,5.634800,116.59,3519.53
51,5.898400,5.898400,26.31,3545.85
52,5.898400,5.714400,24.50,3570.34
53,5.898400,5.819800,24.32,3594.66
54,5.898400,5.819800,24.38,3619.04
55,5.898400,5.890400,24.54,3643.59
56,5.937400,5.937400,24.94,3668.52
57,5.937400,5.897400,24.57,3693.10
58,5.968200,5.968200,24.55,3717.64
