generation,mode,n_simulated,surrogate_rho,train_time_s,total_sims_saved
0,warmup,100,,1.81,0
1,warmup,100,0.1733,0.34,0
2,warmup,100,0.1592,0.38,0
3,warmup,100,0.1028,0.49,0
4,warmup,100,0.2848,0.56,0
5,warmup,100,0.1124,0.56,0
6,warmup,100,0.2442,0.66,0
7,warmup,100,-0.0029,0.65,0
8,warmup,100,0.3590,0.77,0
9,warmup,100,0.5009,0.76,0
10,warmup,100,0.4695,0.66,0
11,warmup,100,0.1313,0.90,0
12,warmup,100,0.1579,0.93,0
13,warmup,100,0.0791,1.05,0
14,warmup,100,0.2795,0.86,0
15,warmup,100,0.2992,1.01,0
16,warmup,100,0.3469,1.14,0
17,warmup,100,0.3063,1.06,0
18,warmup,100,0.3726,1.17,0
19,warmup,100,0.2882,1.20,0
20,control,100,0.2764,1.17,0
21,surrogate,20,,0.14,400
22,surrogate,20,,0.17,800
23,surrogate,20,,0.16,1200
24,surrogate,20,,0.17,1600
25,surrogate,20,,0.14,2000
26,surrogate,20,,0.17,2400
27,surrogate,20,,0.18,2800
28,surrogate,20,,0.15,3200
29,surrogate,20,,0.15,3600
30,control,100,0.3931,1.67,3600
31,surrogate,20,,0.15,4000
32,surrogate,20,,0.18,4400
33,surrogate,20,,0.15,4800
34,surrogate,20,,0.14,5200
35,surrogate,20,,0.16,5600
36,surrogate,20,,0.15,6000
37,surrogate,20,,0.15,6400
38,surrogate,20,,0.15,6800
39,surrogate,20,,0.15,7200
40,control,100,0.6268,2.00,7200
41,surrogate,20,,0.12,7600
42,surrogate,20,,0.12,8000
43,surrogate,20,,0.13,8400
44,surrogate,20,,0.13,8800
45,surrogate,20,,0.14,9200
46,surrogate,20,,0.11,9600
47,surrogate,20,,0.12,10000
48,surrogate,20,,0.12,10400
49,surrogate,20,,0.13,10800
50,control,100,0.7368,2.12,10800
51,surrogate,20,,0.11,11200
52,surrogate,20,,0.13,11600
53,surrogate,20,,0.12,12000
54,surrogate,20,,0.12,12400
55,surrogate,20,,0.14,12800
56,surrogate,20,,0.12,13200
57,surrogate,20,,0.12,13600
58,surrogate,20,,0.12,14000
59,surrogate,20,,0.12,14400
60,control,100,0.7946,2.33,14400
61,surrogate,20,,0.12,14800
62,surrogate,20,,0.12,15200
63,surrogate,20,,0.12,15600
64,surrogate,20,,0.13,16000
65,surrogate,20,,0.11,16400
66,surrogate,20,,0.12,16800
67,surrogate,20,,0.12,17200
68,surrogate,20,,0.14,17600
69,surrogate,20,,0.12,18000
70,control,100,0.8389,1.82,18000
71,surrogate,20,,0.12,18400
72,surrogate,20,,0.12,18800
73,surrogate,20,,0.12,19200
74,surrogate,20,,0.12,19600
75,surrogate,20,,0.12,20000
76,surrogate,20,,0.13,20400
77,surrogate,20,,0.12,20800
78,surrogate,20,,0.13,21200
79,surrogate,20,,0.11,21600
80,control,100,0.3016,2.79,21600
81,surrogate,20,,0.13,22000
82,surrogate,20,,0.13,22400
83,surrogate,20,,0.12,22800
84,surrogate,20,,0.13,23200
