generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
0,3.565400,3.565400,127.70,127.70
1,3.600200,3.600200,110.44,238.14
2,3.797400,3.797400,114.44,352.58
3,3.797400,3.743800,111.76,464.34
4,3.988600,3.988600,112.18,576.53
5,4.143000,4.143000,115.57,692.10
6,4.143000,4.128600,112.62,804.71
7,4.171000,4.171000,113.37,918.09
8,4.249800,4.249800,114.94,1033.03
9,4.249800,4.201200,113.82,1146.85
10,4.437200,4.437200,114.07,1260.92
11,4.506600,4.506600,116.63,1377.54
12,4.506600,4.430600,123.73,1501.28
13,4.506600,4.500400,115.26,1616.54
14,4.606600,4.606600,116.54,1733.07
15,4.606600,4.551800,117.49,1850.56
16,4.760000,4.760000,118.31,1968.88
17,4.760000,4.695800,117.80,2086.68
18,4.760000,4.644600,118.72,2205.40
19,4.787400,4.787400,117.50,2322.90
20,4.878800,4.878800,117.17,2440.08
21,4.878800,4.805000,25.99,2466.06
22,4.878800,4.779000,23.70,2489.76
23,4.954800,4.954800,23.73,2513.50
24,4.993200,4.993200,24.31,2537.80
25,4.993200,4.918400,23.92,2561.73
26,5.146200,5.146200,24.13,2585.86
27,5.146200,5.041000,24.49,2610.35
28,5.197000,5.197000,24.04,2634.39
29,5.197000,5.072400,24.64,2659.03
30,5.308000,5.308000,117.39,2776.42
31,5.308000,5.151600,24.25,2800.68
32,5.308000,5.132600,23.97,2824.65
33,5.308000,5.270200,24.29,2848.94
34,5.332000,5.332000,24.16,2873.10
35,5.332000,5.158600,24.53,2897.63
36,5.374400,5.374400,24.35,2921.98
37,5.388800,5.388800,25.77,2947.75
38,5.423800,5.423800,26.91,2974.66
39,5.505600,5.505600,53.07,3027.72
40,5.674600,5.674600,116.98,3144.70
41,5.674600,5.589200,25.31,3170.01
42,5.685800,5.685800,26.18,3196.19
43,5.721000,5.721000,24.16,3220.34
44,5.721000,5.713000,24.74,3245.08
45,5.721000,5.706400,24.85,3269.93
46,5.777000,5.777000,25.12,3295.05
47,5.777000,5.758000,24.65,3319.71
48,5.882800,5.882800,26.60,3346.30
49,5.987000,5.987000,25.77,3372.07
50,5.987000,5.929600,120.47,3492.55
51,6.064400,6.064400,25.29,3517.84
52,6.064400,5.996200,24.47,3542.31
53,6.064400,5.966400,24.03,3566.34
54,6.064400,5.884600,30.94,3597.28
55,6.064400,6.009400,24.67,3621.95
56,6.064400,5.922400,34.12,3656.07
57,6.121200,6.121200,24.47,3680.53
58,6.121200,5.968800,41.44,3721.97
59,6.121200,6.102400,24.35,3746.32
60,6.121200,6.069800,119.03,3865.35
61,6.121200,6.071600,24.36,3889.71
62,6.121200,5.984800,24.18,3913.90
63,6.150600,6.150600,24.00,3937.90
64,6.167600,6.167600,24.08,3961.98
65,6.167600,6.049000,24.29,3986.26
66,6.167600,6.100800,24.49,4010.75
67,6.271000,6.271000,24.20,4034.95
68,6.271000,6.230400,23.94,4058.89
69,6.271000,6.225800,24.32,4083.22
70,6.367000,6.367000,117.67,4200.89
71,6.367000,6.333400,25.02,4225.91
72,6.386600,6.386600,24.20,4250.12
73,6.443200,6.443200,24.23,4274.35
74,6.443200,6.347600,24.30,4298.65
75,6.443200,6.418000,24.16,4322.81
76,6.443200,6.439000,23.93,4346.74
77,6.453400,6.453400,24.25,4370.99
78,6.523200,6.523200,55.90,4426.88
79,6.523200,6.446400,23.93,4450.82
80,6.542200,6.542200,118.80,4569.62
81,6.542200,6.354800,24.36,4593.98
82,6.542200,6.470000,24.46,4618.44
83,6.571200,6.571200,24.99,4643.43
84,6.618000,6.618000,24.06,4667.49
85,6.618000,6.527000,24.25,4691.74
86,6.682000,6.682000,24.08,4715.82
87,6.682000,6.484400,24.48,4740.30
88,6.682000,6.562800,24.09,4764.39
89,6.682000,6.668400,23.90,4788.29
90,6.682000,6.558800,121.14,4909.43
91,6.682000,6.641600,24.71,4934.14
92,6.682000,6.561200,24.39,4958.53
93,6.682000,6.563400,24.41,4982.94
94,6.682000,6.588000,24.30,5007.24
95,6.703200,6.703200,24.37,5031.61
96,6.703200,6.596200,23.98,5055.59
97,6.703200,6.645800,23.76,5079.36
98,6.703200,6.653200,24.46,5103.82
99,6.704200,6.704200,23.94,5127.76
100,6.704200,6.561400,121.48,5249.24
101,6.704200,6.572800,24.85,5274.09
102,6.750400,6.750400,23.77,5297.86
103,6.750400,6.621000,23.91,5321.77
104,6.750400,6.687600,24.51,5346.28
105,6.765400,6.765400,24.26,5370.54
106,6.765400,6.615600,24.38,5394.91
107,6.765400,6.763800,23.91,5418.82
108,6.847200,6.847200,24.16,5442.98
109,6.847200,6.792600,24.62,5467.60
110,6.847200,6.719200,125.27,5592.87
111,6.847200,6.806000,25.29,5618.16
112,6.847200,6.777200,23.97,5642.13
113,6.847200,6.710000,24.52,5666.65
114,6.847200,6.768400,24.25,5690.89
115,6.847200,6.796800,24.11,5715.00
116,6.847200,6.759400,24.30,5739.30
117,6.847200,6.692400,55.74,5795.04
118,6.847200,6.768200,24.13,5819.17
119,6.847200,6.842200,24.40,5843.57
120,6.847200,6.804600,120.77,5964.34
121,6.847200,6.781600,25.20,5989.54
122,6.860000,6.860000,24.42,6013.96
123,6.860000,6.796400,24.23,6038.20
124,6.878600,6.878600,24.06,6062.26
125,6.878600,6.778000,24.75,6087.01
126,6.878600,6.868600,24.39,6111.39
127,6.895800,6.895800,24.18,6135.58
128,6.895800,6.835800,24.45,6160.02
129,6.895800,6.893000,24.41,6184.43
130,6.943800,6.943800,121.95,6306.38
131,6.982600,6.982600,25.53,6331.91
132,6.982600,6.898200,24.06,6355.97
133,6.982600,6.949000,24.04,6380.01
134,6.982600,6.885200,24.50,6404.50
135,6.982600,6.872800,23.95,6428.45
136,6.982600,6.913800,23.87,6452.32
137,6.982600,6.921200,24.21,6476.53
138,6.982600,6.890200,24.21,6500.74
139,6.982600,6.940400,24.42,6525.16
140,6.982600,6.888200,125.47,6650.62
141,6.993600,6.993600,25.09,6675.72
142,6.993600,6.956800,25.44,6701.16
143,7.019600,7.019600,24.24,6725.40
144,7.025800,7.025800,24.65,6750.04
145,7.103800,7.103800,24.34,6774.38
146,7.103800,7.080800,24.47,6798.85
147,7.103800,6.998000,24.28,6823.13
148,7.103800,7.071400,24.36,6847.49
149,7.103800,7.083800,23.97,6871.46
150,7.103800,7.077800,127.05,6998.51
151,7.103800,7.067800,25.56,7024.07
152,7.103800,7.084200,23.79,7047.86
153,7.124200,7.124200,24.45,7072.31
154,7.133800,7.133800,24.37,7096.68
155,7.133800,7.070200,24.70,7121.38
156,7.169000,7.169000,55.74,7177.12
157,7.169000,7.114200,24.29,7201.41
158,7.169000,7.086600,24.08,7225.49
159,7.169000,7.099200,24.25,7249.74
160,7.169000,7.090200,125.27,7375.02
161,7.169000,7.147400,24.94,7399.95
162,7.169000,7.119800,24.16,7424.12
163,7.169000,7.059000,24.45,7448.56
164,7.169000,7.164000,24.36,7472.92
165,7.169000,7.070400,24.82,7497.74
166,7.169000,7.128600,24.10,7521.84
167,7.169000,7.078200,24.20,7546.04
168,7.169000,7.095800,24.60,7570.64
169,7.169000,7.100800,26.70,7597.34
170,7.169000,7.044600,126.36,7723.69
171,7.169000,7.124800,25.19,7748.89
172,7.216000,7.216000,24.29,7773.18
173,7.216000,7.185600,24.27,7797.44
174,7.216000,7.150800,24.53,7821.97
175,7.216000,7.215000,24.29,7846.26
176,7.216000,7.122000,24.15,7870.41
177,7.234200,7.234200,24.26,7894.67
178,7.251800,7.251800,24.12,7918.79
179,7.251800,7.185000,24.14,7942.93
180,7.251800,7.181400,129.05,8071.98
181,7.251800,7.234200,24.66,8096.65
182,7.251800,7.193400,24.07,8120.71
183,7.251800,7.136200,24.42,8145.13
184,7.251800,7.090200,24.44,8169.57
185,7.251800,7.185800,24.38,8193.95
186,7.251800,7.122200,24.37,8218.32
187,7.251800,7.168000,24.18,8242.50
188,7.251800,7.142800,24.40,8266.89
189,7.251800,7.097600,24.42,8291.31
190,7.251800,7.117800,129.62,8420.93
191,7.251800,7.131600,24.64,8445.57
192,7.251800,7.152000,24.82,8470.39
193,7.251800,7.097600,24.38,8494.77
194,7.251800,7.102600,24.29,8519.06
195,7.251800,7.148600,56.21,8575.27
196,7.251800,7.156800,24.54,8599.81
197,7.251800,7.223800,25.16,8624.97
198,7.256400,7.256400,23.95,8648.92
199,7.256400,7.131000,24.54,8673.46
200,7.264800,7.264800,131.70,8805.15
201,7.264800,7.182000,24.17,8829.33
202,7.264800,7.215600,24.08,8853.41
203,7.264800,7.249200,24.52,8877.93
204,7.339600,7.339600,24.14,8902.07
205,7.351200,7.351200,24.68,8926.75
206,7.351200,7.274200,24.36,8951.11
207,7.351200,7.280000,24.40,8975.51
208,7.351200,7.294400,25.17,9000.68
209,7.351200,7.274800,24.45,9025.13
210,7.351200,7.282200,130.96,9156.10
211,7.351200,7.246600,25.07,9181.16
212,7.351200,7.336000,24.31,9205.47
213,7.351200,7.322400,24.70,9230.17
214,7.351200,7.348800,24.65,9254.82
215,7.351200,7.248800,24.36,9279.18
216,7.354400,7.354400,24.56,9303.74
217,7.360800,7.360800,24.49,9328.23
218,7.390200,7.390200,24.16,9352.39
219,7.390200,7.376800,24.24,9376.63
220,7.390200,7.341200,133.70,9510.34
221,7.390200,7.365400,24.62,9534.95
222,7.390200,7.341800,24.40,9559.36
223,7.416600,7.416600,24.51,9583.87
224,7.457800,7.457800,24.14,9608.01
225,7.457800,7.401400,24.71,9632.72
226,7.457800,7.378600,24.37,9657.09
227,7.457800,7.422600,24.32,9681.41
228,7.457800,7.368600,24.59,9705.99
229,7.457800,7.430600,24.28,9730.28
230,7.457800,7.428600,136.18,9866.46
231,7.491600,7.491600,24.35,9890.81
232,7.491600,7.470600,24.69,9915.50
233,7.520400,7.520400,24.71,9940.21
234,7.520400,7.516400,55.96,9996.18
235,7.520400,7.410200,24.14,10020.32
236,7.520400,7.429600,24.54,10044.86
237,7.520400,7.458200,24.43,10069.29
238,7.520400,7.492000,24.19,10093.48
239,7.520400,7.460200,24.24,10117.72
240,7.520400,7.465200,130.67,10248.39
241,7.520400,7.507000,24.62,10273.01
242,7.532000,7.532000,24.39,10297.40
243,7.547200,7.547200,24.27,10321.66
244,7.547200,7.486800,24.10,10345.77
245,7.547200,7.488400,24.21,10369.98
246,7.547200,7.517800,24.35,10394.32
247,7.577000,7.577000,24.53,10418.85
248,7.577000,7.550600,24.54,10443.39
249,7.577000,7.544800,24.25,10467.64
250,7.577000,7.567800,130.60,10598.23
251,7.581200,7.581200,24.83,10623.06
252,7.608200,7.608200,24.13,10647.19
253,7.608200,7.572800,24.81,10672.00
254,7.608200,7.580000,24.15,10696.15
255,7.608200,7.558000,24.51,10720.66
256,7.608200,7.568800,24.52,10745.18
257,7.608200,7.606400,24.22,10769.40
258,7.621000,7.621000,24.34,10793.74
259,7.621000,7.608400,24.70,10818.44
260,7.621000,7.551800,135.99,10954.43
261,7.626800,7.626800,24.74,10979.17
262,7.626800,7.615800,24.26,11003.43
263,7.626800,7.618200,24.40,11027.83
264,7.663200,7.663200,24.50,11052.33
265,7.663200,7.570000,24.64,11076.97
266,7.663200,7.634200,24.60,11101.57
267,7.666600,7.666600,24.45,11126.03
268,7.666600,7.641800,24.34,11150.37
269,7.679200,7.679200,24.36,11174.73
270,7.679200,7.604000,145.37,11320.10
271,7.691200,7.691200,24.94,11345.04
272,7.691200,7.657200,24.44,11369.48
273,7.691200,7.690000,55.98,11425.46
274,7.733000,7.733000,24.41,11449.87
275,7.733000,7.683000,24.57,11474.44
276,7.733000,7.702800,24.58,11499.02
277,7.733000,7.727800,24.60,11523.62
278,7.743600,7.743600,24.86,11548.48
279,7.743600,7.734000,24.55,11573.03
280,7.743600,7.741600,138.82,11711.85
281,7.781200,7.781200,24.80,11736.66
282,7.781200,7.750400,24.29,11760.94
283,7.781200,7.748000,24.71,11785.65
284,7.781200,7.766400,24.42,11810.07
