generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
0,3.565400,3.565400,119.37,119.37
1,3.565400,3.556200,117.04,236.41
2,3.700400,3.700400,118.09,354.50
3,3.741400,3.741400,114.52,469.02
4,3.800800,3.800800,113.40,582.41
5,3.984600,3.984600,113.66,696.07
6,4.094000,4.094000,114.62,810.70
7,4.094000,4.058000,114.22,924.92
8,4.204400,4.204400,113.34,1038.26
9,4.306800,4.306800,114.81,1153.07
10,4.306800,4.286400,115.55,1268.62
11,4.389000,4.389000,113.99,1382.61
12,4.543200,4.543200,115.43,1498.04
13,4.543200,4.450600,113.72,1611.76
14,4.598400,4.598400,115.66,1727.42
15,4.685800,4.685800,115.95,1843.37
16,4.727000,4.727000,114.00,1957.37
17,4.727000,4.675000,114.66,2072.03
18,4.791400,4.791400,115.50,2187.53
19,4.791400,4.769000,114.66,2302.19
20,4.819200,4.819200,113.74,2415.92
21,4.819200,4.733200,26.11,2442.03
22,4.976400,4.976400,23.99,2466.02
23,4.976400,4.778600,24.37,2490.40
24,4.976400,4.939200,23.74,2514.13
25,4.976400,4.923200,23.87,2538.00
26,4.976400,4.941000,24.26,2562.26
27,4.976400,4.863600,23.87,2586.13
28,5.225000,5.225000,23.74,2609.88
29,5.225000,4.979600,24.05,2633.93
30,5.225000,4.998000,114.34,2748.27
31,5.225000,5.053200,24.64,2772.90
32,5.225000,4.917600,24.23,2797.14
33,5.225000,5.012800,24.21,2821.35
34,5.329000,5.329000,23.98,2845.33
35,5.329000,5.285200,23.91,2869.24
36,5.329000,5.190600,23.99,2893.22
37,5.329000,5.201600,23.73,2916.96
38,5.329000,5.130000,24.04,2940.99
39,5.329000,5.244400,53.38,2994.37
40,5.402600,5.402600,114.25,3108.63
41,5.402600,5.396000,26.06,3134.68
42,5.402600,5.368000,24.82,3159.50
43,5.477000,5.477000,24.23,3183.73
44,5.477000,5.435800,24.31,3208.04
45,5.511800,5.511800,24.17,3232.21
46,5.679600,5.679600,24.10,3256.32
47,5.679600,5.563400,24.33,3280.64
48,5.695400,5.695400,24.35,3304.99
49,5.695400,5.630800,24.17,3329.16
50,5.695400,5.630200,114.54,3443.69
51,5.695400,5.639200,25.70,3469.39
52,5.699800,5.699800,24.42,3493.81
53,5.802400,5.802400,24.11,3517.92
54,5.802400,5.710800,23.88,3541.80
55,5.884000,5.884000,23.98,3565.78
56,5.884000,5.651000,23.85,3589.63
57,5.884000,5.760000,24.59,3614.22
58,5.884000,5.763600,24.20,3638.41
59,5.884000,5.867200,24.01,3662.42
60,5.991400,5.991400,116.60,3779.03
61,5.991400,5.887000,25.87,3804.89
62,5.991400,5.871200,24.29,3829.18
63,5.991400,5.842000,24.22,3853.41
64,6.078400,6.078400,23.89,3877.30
65,6.096400,6.096400,23.99,3901.29
66,6.096400,6.082000,24.16,3925.45
67,6.096400,6.088600,24.15,3949.59
68,6.111200,6.111200,24.09,3973.69
69,6.180200,6.180200,23.84,3997.53
70,6.180200,6.049000,114.83,4112.36
71,6.196800,6.196800,25.71,4138.07
72,6.196800,6.167600,24.01,4162.08
73,6.197200,6.197200,24.11,4186.19
74,6.260200,6.260200,24.02,4210.21
75,6.286800,6.286800,24.13,4234.34
76,6.317800,6.317800,23.92,4258.26
77,6.446800,6.446800,24.44,4282.70
78,6.524600,6.524600,53.29,4335.99
79,6.524600,6.335600,23.76,4359.75
80,6.524600,6.363800,115.79,4475.54
81,6.524600,6.473800,25.66,4501.20
82,6.553400,6.553400,24.23,4525.43
83,6.553400,6.435200,24.17,4549.60
84,6.553400,6.459400,24.42,4574.02
85,6.604200,6.604200,23.81,4597.83
86,6.654400,6.654400,24.23,4622.06
87,6.654400,6.548200,24.07,4646.13
88,6.654400,6.530400,24.19,4670.32
89,6.654400,6.599000,23.93,4694.25
90,6.654400,6.602600,116.67,4810.92
91,6.764600,6.764600,25.72,4836.64
92,6.764600,6.678400,24.86,4861.50
93,6.772200,6.772200,25.32,4886.82
94,6.772200,6.635000,24.40,4911.22
95,6.775200,6.775200,24.45,4935.67
96,6.815200,6.815200,24.22,4959.89
97,6.858800,6.858800,24.15,4984.03
98,6.858800,6.839600,24.43,5008.47
99,6.858800,6.815000,24.73,5033.20
100,6.858800,6.780200,117.23,5150.43
101,6.858800,6.823200,25.92,5176.35
102,6.858800,6.826800,24.41,5200.76
103,6.877400,6.877400,24.10,5224.86
104,6.922200,6.922200,24.31,5249.17
105,6.939200,6.939200,24.38,5273.55
106,6.939200,6.822400,24.41,5297.96
107,6.939200,6.895400,24.47,5322.43
108,6.959600,6.959600,24.80,5347.24
109,6.959600,6.889200,24.19,5371.43
110,6.959600,6.924000,115.15,5486.58
111,6.998800,6.998800,26.71,5513.29
112,6.998800,6.969800,24.30,5537.59
113,6.998800,6.948200,24.12,5561.71
114,6.998800,6.827800,24.22,5585.93
115,6.998800,6.873800,23.93,5609.86
116,6.998800,6.923200,23.95,5633.80
117,6.998800,6.889400,53.94,5687.74
118,6.998800,6.957200,24.40,5712.14
119,6.998800,6.952000,24.45,5736.59
