generation,mode,n_simulated,surrogate_rho,train_time_s,total_sims_saved
0,warmup,100,,10.06,0
1,warmup,100,0.0969,0.26,0
2,warmup,100,0.0848,0.41,0
3,warmup,100,0.1198,0.50,0
4,warmup,100,0.2836,0.43,0
5,warmup,100,-0.0201,0.64,0
6,warmup,100,0.2712,0.56,0
7,warmup,100,0.3315,0.62,0
8,warmup,100,0.4604,0.75,0
9,warmup,100,0.5697,0.69,0
10,warmup,100,0.4705,0.71,0
11,warmup,100,0.2151,0.79,0
12,warmup,100,0.1442,0.82,0
13,warmup,100,-0.0746,0.79,0
14,warmup,100,0.1546,1.04,0
15,warmup,100,0.3878,0.87,0
16,warmup,100,0.3646,1.13,0
17,warmup,100,0.2514,1.09,0
18,warmup,100,0.1586,1.22,0
19,warmup,100,0.2982,0.99,0
20,control,100,0.4319,1.29,0
21,surrogate,20,,0.12,400
22,surrogate,20,,0.11,800
23,surrogate,20,,0.12,1200
24,surrogate,20,,0.11,1600
25,surrogate,20,,0.11,2000
26,surrogate,20,,0.14,2400
27,surrogate,20,,0.12,2800
28,surrogate,20,,0.12,3200
29,surrogate,20,,0.12,3600
30,control,100,0.1748,1.51,3600
31,surrogate,20,,0.11,4000
32,surrogate,20,,0.12,4400
33,surrogate,20,,0.11,4800
34,surrogate,20,,0.14,5200
35,surrogate,20,,0.12,5600
36,surrogate,20,,0.13,6000
37,surrogate,20,,0.12,6400
38,surrogate,20,,0.11,6800
39,surrogate,20,,0.13,7200
40,control,100,0.7551,1.70,7200
41,surrogate,20,,0.13,7600
42,surrogate,20,,0.10,8000
43,surrogate,20,,0.13,8400
44,surrogate,20,,0.12,8800
45,surrogate,20,,0.11,9200
46,surrogate,20,,0.11,9600
47,surrogate,20,,0.13,10000
48,surrogate,20,,0.12,10400
49,surrogate,20,,0.11,10800
50,control,100,0.6887,1.60,10800
51,surrogate,20,,0.11,11200
52,surrogate,20,,0.13,11600
53,surrogate,20,,0.13,12000
54,surrogate,20,,0.10,12400
55,surrogate,20,,0.11,12800
56,surrogate,20,,0.11,13200
57,surrogate,20,,0.11,13600
58,surrogate,20,,0.12,14000
59,surrogate,20,,0.12,14400
60,control,100,0.8269,3.15,14400
61,surrogate,20,,0.11,14800
62,surrogate,20,,0.11,15200
63,surrogate,20,,0.12,15600
64,surrogate,20,,0.13,16000
65,surrogate,20,,0.11,16400
66,surrogate,20,,0.13,16800
67,surrogate,20,,0.11,17200
68,surrogate,20,,0.12,17600
69,surrogate,20,,0.12,18000
70,control,100,0.6193,1.79,18000
71,surrogate,20,,0.12,18400
72,surrogate,20,,0.11,18800
73,surrogate,20,,0.12,19200
74,surrogate,20,,0.12,19600
75,surrogate,20,,0.11,20000
76,surrogate,20,,0.11,20400
77,surrogate,20,,0.12,20800
78,surrogate,20,,0.12,21200
79,surrogate,20,,0.12,21600
80,control,100,0.2396,2.84,21600
81,surrogate,20,,0.11,22000
82,surrogate,20,,0.11,22400
83,surrogate,20,,0.11,22800
84,surrogate,20,,0.11,23200
85,surrogate,20,,0.13,23600
86,surrogate,20,,0.13,24000
87,surrogate,20,,0.11,24400
88,surrogate,20,,0.12,24800
89,surrogate,20,,0.12,25200
90,control,100,0.7822,3.13,25200
91,surrogate,20,,0.12,25600
92,surrogate,20,,0.12,26000
93,surrogate,20,,0.13,26400
94,surrogate,20,,0.11,26800
95,surrogate,20,,0.12,27200
96,surrogate,20,,0.12,27600
97,surrogate,20,,0.12,28000
98,surrogate,20,,0.11,28400
99,surrogate,20,,0.12,28800
100,control,100,0.7339,3.95,28800
101,surrogate,20,,0.13,29200
102,surrogate,20,,0.11,29600
103,surrogate,20,,0.11,30000
104,surrogate,20,,0.12,30400
105,surrogate,20,,0.12,30800
106,surrogate,20,,0.12,31200
107,surrogate,20,,0.12,31600
108,surrogate,20,,0.11,32000
109,surrogate,20,,0.11,32400
110,control,100,0.4400,2.16,32400
111,surrogate,20,,0.13,32800
112,surrogate,20,,0.12,33200
113,surrogate,20,,0.12,33600
114,surrogate,20,,0.12,34000
115,surrogate,20,,0.12,34400
116,surrogate,20,,0.12,34800
117,surrogate,20,,0.12,35200
118,surrogate,20,,0.12,35600
119,surrogate,20,,0.14,36000
120,control,100,0.5478,3.62,36000
121,surrogate,20,,0.11,36400
122,surrogate,20,,0.11,36800
123,surrogate,20,,0.12,37200
124,surrogate,20,,0.12,37600
125,surrogate,20,,0.11,38000
126,surrogate,20,,0.11,38400
127,surrogate,20,,0.13,38800
128,surrogate,20,,0.13,39200
129,surrogate,20,,0.12,39600
130,control,100,0.7611,2.34,39600
131,surrogate,20,,0.11,40000
132,surrogate,20,,0.11,40400
133,surrogate,20,,0.12,40800
134,surrogate,20,,0.13,41200
135,surrogate,20,,0.12,41600
136,surrogate,20,,0.13,42000
137,surrogate,20,,0.12,42400
138,surrogate,20,,0.12,42800
139,surrogate,20,,0.12,43200
140,control,100,0.7008,2.36,43200
141,surrogate,20,,0.11,43600
142,surrogate,20,,0.12,44000
143,surrogate,20,,0.11,44400
144,surrogate,20,,0.13,44800
145,surrogate,20,,0.12,45200
146,surrogate,20,,0.12,45600
147,surrogate,20,,0.11,46000
148,surrogate,20,,0.14,46400
149,surrogate,20,,0.12,46800
150,control,100,0.7597,3.19,46800
151,surrogate,20,,0.11,47200
152,surrogate,20,,0.12,47600
153,surrogate,20,,0.13,48000
154,surrogate,20,,0.12,48400
155,surrogate,20,,0.11,48800
156,surrogate,20,,0.13,49200
157,surrogate,20,,0.12,49600
158,surrogate,20,,0.12,50000
159,surrogate,20,,0.14,50400
160,control,100,0.7204,5.57,50400
161,surrogate,20,,0.13,50800
162,surrogate,20,,0.12,51200
163,surrogate,20,,0.11,51600
164,surrogate,20,,0.12,52000
165,surrogate,20,,0.13,52400
166,surrogate,20,,0.11,52800
167,surrogate,20,,0.13,53200
168,surrogate,20,,0.11,53600
169,surrogate,20,,0.13,54000
170,control,100,0.7212,2.72,54000
171,surrogate,20,,0.13,54400
172,surrogate,20,,0.14,54800
173,surrogate,20,,0.12,55200
174,surrogate,20,,0.13,55600
175,surrogate,20,,0.12,56000
176,surrogate,20,,0.12,56400
177,surrogate,20,,0.12,56800
178,surrogate,20,,0.11,57200
179,surrogate,20,,0.12,57600
180,control,100,0.6742,3.45,57600
181,surrogate,20,,0.11,58000
182,surrogate,20,,0.12,58400
183,surrogate,20,,0.12,58800
184,surrogate,20,,0.12,59200
185,surrogate,20,,0.12,59600
186,surrogate,20,,0.12,60000
187,surrogate,20,,0.13,60400
188,surrogate,20,,0.14,60800
189,surrogate,20,,0.11,61200
190,control,100,0.7068,3.70,61200
191,surrogate,20,,0.12,61600
192,surrogate,20,,0.12,62000
193,surrogate,20,,0.12,62400
194,surrogate,20,,0.12,62800
195,surrogate,20,,0.12,63200
196,surrogate,20,,0.12,63600
197,surrogate,20,,0.14,64000
198,surrogate,20,,0.13,64400
199,surrogate,20,,0.12,64800
200,control,100,0.7862,5.04,64800
201,surrogate,20,,0.12,65200
202,surrogate,20,,0.12,65600
203,surrogate,20,,0.12,66000
204,surrogate,20,,0.12,66400
205,surrogate,20,,0.13,66800
206,surrogate,20,,0.12,67200
207,surrogate,20,,0.12,67600
208,surrogate,20,,0.12,68000
209,surrogate,20,,0.11,68400
210,control,100,0.7922,4.00,68400
211,surrogate,20,,0.12,68800
212,surrogate,20,,0.12,69200
213,surrogate,20,,0.13,69600
214,surrogate,20,,0.12,70000
215,surrogate,20,,0.12,70400
216,surrogate,20,,0.12,70800
217,surrogate,20,,0.13,71200
218,surrogate,20,,0.12,71600
219,surrogate,20,,0.12,72000
220,control,100,0.6514,4.29,72000
221,surrogate,20,,0.12,72400
222,surrogate,20,,0.12,72800
223,surrogate,20,,0.13,73200
224,surrogate,20,,0.12,73600
225,surrogate,20,,0.12,74000
226,surrogate,20,,0.13,74400
227,surrogate,20,,0.12,74800
228,surrogate,20,,0.12,75200
229,surrogate,20,,0.13,75600
230,control,100,0.6375,5.78,75600
231,surrogate,20,,0.12,76000
232,surrogate,20,,0.12,76400
233,surrogate,20,,0.12,76800
234,surrogate,20,,0.13,77200
235,surrogate,20,,0.12,77600
236,surrogate,20,,0.11,78000
237,surrogate,20,,0.12,78400
238,surrogate,20,,0.11,78800
239,surrogate,20,,0.12,79200
240,control,100,0.5514,3.54,79200
241,surrogate,20,,0.13,79600
242,surrogate,20,,0.12,80000
243,surrogate,20,,0.12,80400
244,surrogate,20,,0.11,80800
245,surrogate,20,,0.12,81200
246,surrogate,20,,0.13,81600
247,surrogate,20,,0.11,82000
248,surrogate,20,,0.13,82400
249,surrogate,20,,0.13,82800
250,control,100,0.7302,3.60,82800
251,surrogate,20,,0.12,83200
252,surrogate,20,,0.12,83600
253,surrogate,20,,0.12,84000
254,surrogate,20,,0.11,84400
255,surrogate,20,,0.11,84800
256,surrogate,20,,0.12,85200
257,surrogate,20,,0.13,85600
258,surrogate,20,,0.13,86000
259,surrogate,20,,0.12,86400
260,control,100,0.5966,6.18,86400
261,surrogate,20,,0.12,86800
262,surrogate,20,,0.13,87200
263,surrogate,20,,0.13,87600
264,surrogate,20,,0.13,88000
265,surrogate,20,,0.11,88400
266,surrogate,20,,0.12,88800
267,surrogate,20,,0.12,89200
268,surrogate,20,,0.13,89600
269,surrogate,20,,0.10,90000
270,control,100,0.7710,3.86,90000
271,surrogate,20,,0.13,90400
272,surrogate,20,,0.11,90800
273,surrogate,20,,0.12,91200
274,surrogate,20,,0.12,91600
275,surrogate,20,,0.11,92000
276,surrogate,20,,0.12,92400
277,surrogate,20,,0.13,92800
278,surrogate,20,,0.13,93200
279,surrogate,20,,0.12,93600
280,control,100,0.3489,4.00,93600
281,surrogate,20,,0.12,94000
282,surrogate,20,,0.11,94400
283,surrogate,20,,0.12,94800
284,surrogate,20,,0.13,95200
285,surrogate,20,,0.10,95600
286,surrogate,20,,0.11,96000
287,surrogate,20,,0.14,96400
288,surrogate,20,,0.11,96800
289,surrogate,20,,0.11,97200
290,control,100,0.9316,4.05,97200
291,surrogate,20,,0.12,97600
292,surrogate,20,,0.13,98000
293,surrogate,20,,0.12,98400
294,surrogate,20,,0.12,98800
295,surrogate,20,,0.11,99200
296,surrogate,20,,0.13,99600
297,surrogate,20,,0.13,100000
298,surrogate,20,,0.11,100400
299,surrogate,20,,0.13,100800
