generation,mode,n_simulated,surrogate_rho,mean_std,selected_std,train_time_s,total_sims_saved
0,warmup,100,,,,8.71,0
1,warmup,100,0.2294,0.0474,,0.77,0
2,warmup,100,0.4215,0.0528,,1.02,0
3,warmup,100,0.4400,0.0407,,1.43,0
4,warmup,100,0.5222,0.0458,,1.87,0
5,warmup,100,0.5493,0.0392,,2.18,0
6,warmup,100,0.5976,0.0430,,2.35,0
7,warmup,100,0.6176,0.0445,,2.98,0
8,warmup,100,0.5120,0.0487,,3.13,0
9,warmup,100,0.6249,0.0562,,2.99,0
10,warmup,100,0.6083,0.0357,,3.67,0
11,warmup,100,0.6006,0.0408,,3.53,0
12,warmup,100,0.5948,0.0521,,4.15,0
13,warmup,100,0.5201,0.0435,,4.27,0
14,warmup,100,0.4340,0.0679,,5.65,0
15,warmup,100,0.3334,0.0568,,5.32,0
16,warmup,100,0.4770,0.0496,,4.74,0
17,warmup,100,0.5598,0.0595,,5.91,0
18,warmup,100,0.3446,0.0573,,5.38,0
19,warmup,100,0.2387,0.0572,,5.35,0
20,control,100,0.4198,0.0475,,5.57,0
21,surrogate,20,,0.0531,0.0541,0.41,400
22,surrogate,20,,0.0517,0.0506,0.33,800
23,surrogate,20,,0.0521,0.0517,0.35,1200
24,surrogate,20,,0.0612,0.0667,0.41,1600
25,surrogate,20,,0.0579,0.0543,0.42,2000
26,surrogate,20,,0.0571,0.0455,0.31,2400
27,surrogate,20,,0.0581,0.0354,0.38,2800
28,surrogate,20,,0.0610,0.0580,0.34,3200
29,surrogate,20,,0.0599,0.0400,0.44,3600
30,control,100,0.6377,0.0630,,6.34,3600
31,surrogate,20,,0.0362,0.0332,0.35,4000
32,surrogate,20,,0.0360,0.0296,0.39,4400
33,surrogate,20,,0.0330,0.0156,0.43,4800
34,surrogate,20,,0.0345,0.0155,0.41,5200
35,surrogate,20,,0.0427,0.0453,0.35,5600
36,surrogate,20,,0.0440,0.0393,0.40,6000
37,surrogate,20,,0.0505,0.0540,0.41,6400
38,surrogate,20,,0.0486,0.0280,0.42,6800
39,surrogate,20,,0.0533,0.0423,0.42,7200
40,control,100,0.6879,0.0597,,7.15,7200
41,surrogate,20,,0.0443,0.0447,0.41,7600
42,surrogate,20,,0.0426,0.0373,0.36,8000
43,surrogate,20,,0.0480,0.0633,0.36,8400
44,surrogate,20,,0.0511,0.0637,0.43,8800
45,surrogate,20,,0.0498,0.0545,0.43,9200
46,surrogate,20,,0.0477,0.0421,0.42,9600
47,surrogate,20,,0.0474,0.0383,0.41,10000
48,surrogate,20,,0.0461,0.0302,0.33,10400
49,surrogate,20,,0.0521,0.0527,0.37,10800
50,control,100,0.7913,0.0511,,8.48,10800
51,surrogate,20,,0.0429,0.0389,0.40,11200
52,surrogate,20,,0.0464,0.0576,0.41,11600
53,surrogate,20,,0.0468,0.0592,0.45,12000
54,surrogate,20,,0.0471,0.0576,0.37,12400
55,surrogate,20,,0.0572,0.1022,0.34,12800
56,surrogate,20,,0.0532,0.0764,0.32,13200
57,surrogate,20,,0.0525,0.0738,0.33,13600
58,surrogate,20,,0.0496,0.0633,0.42,14000
59,surrogate,20,,0.0660,0.1349,0.35,14400
60,control,100,0.8363,0.0540,,8.08,14400
61,surrogate,20,,0.0784,0.1036,0.30,14800
62,surrogate,20,,0.0704,0.0598,0.36,15200
63,surrogate,20,,0.0672,0.0405,0.34,15600
64,surrogate,20,,0.0658,0.0236,0.31,16000
65,surrogate,20,,0.0755,0.0658,0.38,16400
66,surrogate,20,,0.0750,0.0636,0.38,16800
67,surrogate,20,,0.0728,0.0489,0.43,17200
68,surrogate,20,,0.0725,0.0469,0.33,17600
69,surrogate,20,,0.0767,0.0586,0.34,18000
70,control,100,0.8345,0.0801,,10.70,18000
71,surrogate,20,,0.0882,0.1410,0.41,18400
72,surrogate,20,,0.0746,0.0865,0.39,18800
73,surrogate,20,,0.0629,0.0343,0.35,19200
74,surrogate,20,,0.0642,0.0397,0.42,19600
75,surrogate,20,,0.0672,0.0552,0.41,20000
76,surrogate,20,,0.0683,0.0603,0.42,20400
77,surrogate,20,,0.0634,0.0382,0.37,20800
78,surrogate,20,,0.0614,0.0287,0.35,21200
79,surrogate,20,,0.0685,0.0637,0.33,21600
80,control,100,0.7484,0.0660,,9.04,21600
81,surrogate,20,,0.0736,0.1567,0.34,22000
82,surrogate,20,,0.0664,0.1236,0.40,22400
83,surrogate,20,,0.0668,0.1217,0.33,22800
84,surrogate,20,,0.0642,0.1073,0.35,23200
85,surrogate,20,,0.0695,0.1344,0.40,23600
86,surrogate,20,,0.0599,0.0885,0.36,24000
87,surrogate,20,,0.0592,0.0843,0.41,24400
88,surrogate,20,,0.0664,0.1166,0.38,24800
89,surrogate,20,,0.0606,0.0902,0.45,25200
90,control,100,0.5807,0.0552,,9.63,25200
91,surrogate,20,,0.0818,0.1766,0.44,25600
92,surrogate,20,,0.0724,0.1452,0.37,26000
93,surrogate,20,,0.0698,0.1255,0.30,26400
94,surrogate,20,,0.0759,0.1500,0.40,26800
95,surrogate,20,,0.0763,0.1535,0.31,27200
96,surrogate,20,,0.0820,0.1836,0.37,27600
97,surrogate,20,,0.0755,0.1483,0.36,28000
98,surrogate,20,,0.0733,0.1345,0.42,28400
99,surrogate,20,,0.0904,0.2120,0.36,28800
100,control,100,0.5589,0.0811,,10.59,28800
101,surrogate,20,,0.0495,0.0637,0.42,29200
102,surrogate,20,,0.0503,0.0593,0.30,29600
103,surrogate,20,,0.0557,0.0805,0.31,30000
104,surrogate,20,,0.0595,0.0978,0.37,30400
105,surrogate,20,,0.0531,0.0686,0.30,30800
106,surrogate,20,,0.0571,0.0846,0.35,31200
107,surrogate,20,,0.0560,0.0829,0.37,31600
108,surrogate,20,,0.0619,0.1247,0.41,32000
