generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
0,3.462200,3.462200,120.94,120.94,
1,3.746800,3.746800,122.92,243.86,
2,3.973000,3.973000,119.94,363.80,
3,3.973000,3.878200,117.24,481.04,
4,4.155000,4.155000,113.64,594.68,
5,4.481400,4.481400,120.59,715.27,
6,4.481400,4.412800,126.47,841.74,
7,4.559000,4.559000,123.24,964.98,
8,4.774200,4.774200,130.21,1095.19,
9,5.105400,5.105400,116.30,1211.49,
10,5.105400,5.044400,118.41,1329.90,
11,5.171200,5.171200,120.83,1450.73,
12,5.273800,5.273800,116.77,1567.51,
13,5.273800,5.239400,117.36,1684.86,
14,5.503400,5.503400,117.30,1802.17,
15,5.503400,5.466200,118.71,1920.87,
16,5.635800,5.635800,123.29,2044.16,
17,5.635800,5.574000,118.58,2162.73,
18,5.635800,5.563400,117.88,2280.62,
19,5.635800,5.560400,120.10,2400.72,
20,5.684600,5.684600,324.18,2724.90,
21,5.752400,5.752400,57.59,2782.48,
22,5.795600,5.795600,60.88,2843.36,
23,5.795600,5.771800,60.02,2903.38,
24,5.889400,5.889400,69.78,2973.17,
25,5.889400,5.763000,61.02,3034.18,
26,5.908600,5.908600,63.13,3097.32,
27,5.908600,5.820800,61.86,3159.18,
28,5.908600,5.901200,57.33,3216.51,
29,5.908600,5.788800,61.74,3278.24,
30,6.075400,6.075400,306.29,3584.53,
31,6.075400,5.952200,28.26,3612.79,
32,6.075400,5.901200,31.54,3644.33,
33,6.075400,5.960400,24.61,3668.94,
34,6.080400,6.080400,24.24,3693.18,
35,6.080400,5.988000,24.84,3718.03,
36,6.090400,6.090400,25.49,3743.51,
37,6.090400,6.032000,24.37,3767.88,
38,6.090400,6.061200,24.29,3792.17,
39,6.143000,6.143000,24.89,3817.07,
40,6.378000,6.378000,126.65,3943.72,
41,6.378000,6.212800,25.83,3969.55,
42,6.458800,6.458800,25.13,3994.68,
43,6.458800,6.255800,24.23,4018.91,
44,6.458800,5.972200,24.18,4043.08,
45,6.458800,6.270600,25.20,4068.29,
46,6.458800,6.380200,24.67,4092.96,
47,6.458800,6.399200,25.26,4118.21,
48,6.458800,6.448400,29.83,4148.04,
49,6.458800,6.415400,24.56,4172.60,
50,6.458800,6.362600,121.66,4294.26,
51,6.458800,6.396200,25.92,4320.18,
52,6.458800,6.430600,24.30,4344.47,
53,6.458800,6.369400,24.10,4368.58,
54,6.458800,6.352600,24.01,4392.59,
55,6.458800,6.452200,24.40,4416.98,
56,6.458800,6.411000,29.88,4446.87,
57,6.508200,6.508200,24.20,4471.07,
58,6.508200,6.456200,23.94,4495.01,
59,6.508200,6.499600,24.04,4519.04,
60,6.662400,6.662400,123.43,4642.47,
61,6.662400,6.598200,25.99,4668.46,
62,6.662400,6.477400,23.88,4692.34,
63,6.662400,6.473000,24.07,4716.41,
64,6.669800,6.669800,30.24,4746.65,
65,6.685600,6.685600,24.79,4771.43,
66,6.815000,6.815000,24.23,4795.66,
67,6.815000,6.639800,24.44,4820.09,
68,6.815000,6.685800,24.21,4844.31,
69,6.815000,6.712200,24.42,4868.73,
70,6.815000,6.758400,123.80,4992.52,
71,6.815000,6.768400,25.78,5018.30,
72,6.815000,6.729400,30.03,5048.33,
73,6.815000,6.779600,24.25,5072.59,
74,6.839000,6.839000,24.11,5096.69,
75,6.839000,6.786800,24.84,5121.54,
76,6.866000,6.866000,24.36,5145.90,
77,6.866000,6.798400,24.46,5170.36,
78,6.866000,6.798000,24.02,5194.38,
79,6.866000,6.801200,24.47,5218.85,
80,6.911000,6.911000,131.06,5349.91,
81,6.911000,6.736200,27.01,5376.93,
82,6.911000,6.834000,25.27,5402.19,
83,6.911000,6.854400,24.88,5427.08,
84,6.924000,6.924000,24.61,5451.69,
85,6.924000,6.808400,25.10,5476.78,
86,6.953800,6.953800,25.21,5501.99,
87,6.953800,6.850800,25.37,5527.36,
88,6.953800,6.857800,31.40,5558.76,
89,6.953800,6.926800,25.39,5584.16,
90,6.953800,6.904600,134.54,5718.69,
91,6.953800,6.884200,30.52,5749.21,
92,6.953800,6.908800,26.30,5775.51,
93,7.007400,7.007400,25.54,5801.05,
94,7.007400,6.893400,25.68,5826.72,
95,7.007400,7.006400,25.39,5852.11,
96,7.033200,7.033200,34.26,5886.37,
97,7.033200,7.018000,25.42,5911.79,
98,7.146400,7.146400,25.54,5937.33,
99,7.172000,7.172000,25.44,5962.77,
100,7.172000,7.026200,133.56,6096.33,
101,7.172000,7.099400,27.03,6123.36,
102,7.172000,7.114400,25.86,6149.22,
103,7.172000,7.053400,26.13,6175.35,
104,7.172000,7.055400,32.56,6207.91,
105,7.183200,7.183200,25.12,6233.04,
106,7.183200,7.071000,25.36,6258.40,
107,7.183200,7.162000,25.46,6283.86,
108,7.183200,7.159600,27.54,6311.40,
109,7.183200,7.154000,25.48,6336.88,
110,7.223200,7.223200,136.46,6473.34,
111,7.281400,7.281400,28.71,6502.05,
112,7.281400,7.125600,32.22,6534.27,
113,7.281400,7.177200,25.42,6559.70,
114,7.281400,7.111400,25.32,6585.01,
115,7.281400,7.223800,25.44,6610.45,
116,7.281400,7.097000,25.38,6635.84,
117,7.281400,7.159400,25.71,6661.55,
118,7.281400,7.082400,24.94,6686.49,
119,7.281400,7.167400,24.48,6710.97,
120,7.281400,7.218200,133.65,6844.62,
121,7.281400,7.162200,24.85,6869.47,
122,7.281400,7.123200,24.34,6893.81,
123,7.281400,7.236800,24.40,6918.21,
124,7.281400,7.172200,24.19,6942.41,
125,7.281400,7.130200,24.21,6966.62,
126,7.281400,7.253400,24.53,6991.15,
127,7.281400,7.214600,24.43,7015.57,
128,7.281400,7.160400,30.54,7046.12,
129,7.281400,7.277600,24.26,7070.38,
130,7.287200,7.287200,127.81,7198.19,
131,7.287200,7.239000,25.10,7223.29,
132,7.287200,7.188800,24.41,7247.69,
133,7.287200,7.185800,24.40,7272.10,
