generation,mode,n_simulated,surrogate_rho,mean_std,selected_std,train_time_s,total_sims_saved
0,warmup,100,,,,2.11,0
1,warmup,100,0.0553,0.0184,,1.41,0
2,warmup,100,0.0831,0.0325,,1.05,0
3,warmup,100,0.0325,0.0185,,1.22,0
4,warmup,100,0.1515,0.0438,,1.38,0
5,warmup,100,0.2980,0.0507,,1.90,0
6,warmup,100,0.2224,0.0668,,2.18,0
7,warmup,100,0.3153,0.0384,,2.42,0
8,warmup,100,0.1822,0.0345,,2.28,0
9,warmup,100,-0.0299,0.0846,,2.87,0
10,warmup,100,-0.0072,0.0879,,2.86,0
11,warmup,100,0.1032,0.0651,,3.23,0
12,warmup,100,0.1806,0.1231,,3.21,0
13,warmup,100,0.0976,0.0459,,3.28,0
14,warmup,100,0.1587,0.0860,,3.66,0
15,warmup,100,0.1140,0.0708,,4.68,0
16,warmup,100,0.0236,0.0516,,3.76,0
17,warmup,100,0.1279,0.1035,,3.98,0
18,warmup,100,0.1423,0.0579,,4.30,0
19,warmup,100,0.2319,0.0781,,4.61,0
20,control,100,0.0429,0.0766,,8.75,0
21,surrogate,20,,0.0657,0.0777,0.92,400
22,surrogate,20,,0.0447,0.0596,1.00,800
23,surrogate,20,,0.0750,0.0955,1.09,1200
24,surrogate,20,,0.0828,0.1070,0.95,1600
25,surrogate,20,,0.0619,0.0692,1.09,2000
26,surrogate,20,,0.0607,0.0753,0.96,2400
27,surrogate,20,,0.0588,0.0759,0.83,2800
28,surrogate,20,,0.0709,0.0879,0.95,3200
29,surrogate,20,,0.0955,0.1082,1.02,3600
30,control,100,0.0911,0.0445,,7.33,3600
31,surrogate,20,,0.0927,0.1052,0.47,4000
32,surrogate,20,,0.0639,0.0728,0.44,4400
33,surrogate,20,,0.0737,0.0846,0.42,4800
34,surrogate,20,,0.0561,0.0656,0.37,5200
35,surrogate,20,,0.0667,0.0836,0.46,5600
36,surrogate,20,,0.0568,0.0632,0.46,6000
37,surrogate,20,,0.0573,0.0731,0.46,6400
