generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
0,2.245400,2.245400,89.87,89.87,
1,2.596200,2.596200,80.91,170.78,
2,2.596200,2.415400,81.62,252.40,
3,2.596200,2.453000,81.75,334.15,
4,2.676000,2.676000,82.69,416.85,
5,2.730200,2.730200,82.70,499.55,
6,2.730200,2.496600,81.98,581.53,
7,3.063400,3.063400,83.70,665.22,
8,3.063400,2.797200,82.82,748.04,
9,3.979200,3.979200,84.25,832.29,
10,3.979200,2.814800,84.21,916.50,
11,3.979200,3.148400,85.72,1002.22,
12,3.979200,3.199800,84.43,1086.65,
13,3.979200,2.706800,83.21,1169.86,
14,3.979200,3.565800,83.14,1253.00,
15,3.979200,3.085200,85.18,1338.19,
16,3.979200,2.861200,85.18,1423.36,
17,3.979200,3.561400,87.77,1511.13,
18,3.979200,3.542400,86.70,1597.83,
19,3.979200,3.358200,86.63,1684.45,
20,3.979200,3.499000,87.21,1771.66,
21,3.979200,3.179600,17.77,1789.44,
22,3.979200,3.689200,17.67,1807.11,
23,3.979200,3.311800,17.62,1824.73,
24,3.979200,3.551200,17.34,1842.08,
25,3.979200,3.597200,17.40,1859.48,
26,3.979200,3.590200,17.14,1876.62,
27,4.196600,4.196600,17.40,1894.03,
28,4.196600,3.512000,17.51,1911.53,
29,4.196600,3.503600,17.34,1928.87,
30,4.196600,3.617200,87.65,2016.53,
31,4.196600,3.938800,18.18,2034.71,
32,4.196600,3.995800,38.80,2073.51,
33,4.196600,3.387200,17.27,2090.78,
34,4.196600,3.772600,17.39,2108.18,
35,4.196600,3.717800,17.84,2126.02,
36,4.196600,3.658600,17.64,2143.66,
37,4.196600,3.994600,17.63,2161.29,
38,4.196600,4.187600,17.70,2178.99,
39,4.196600,4.187800,17.59,2196.58,
40,4.196600,4.015400,88.69,2285.27,
41,4.196600,4.171600,18.37,2303.63,
42,4.196600,4.088600,17.45,2321.08,
43,4.422200,4.422200,17.30,2338.38,
44,4.422200,3.440600,17.38,2355.76,
45,4.422200,4.417000,17.53,2373.29,
46,4.422200,4.231800,17.52,2390.81,
47,4.422200,4.355600,17.72,2408.53,
48,4.422200,3.972400,17.63,2426.16,
49,4.422200,4.381400,17.61,2443.77,
50,4.422200,3.933400,92.74,2536.50,
51,4.700600,4.700600,17.74,2554.24,
52,4.700600,3.768200,17.39,2571.63,
53,4.700600,4.348400,17.69,2589.32,
54,4.700600,4.294200,17.61,2606.93,
55,4.700600,3.696400,17.32,2624.25,
56,4.700600,4.033200,17.50,2641.74,
57,4.700600,3.460600,17.64,2659.38,
58,4.700600,4.289200,17.60,2676.98,
59,4.700600,4.471800,17.42,2694.41,
60,4.840800,4.840800,91.80,2786.21,
61,4.840800,4.347800,17.94,2804.15,
62,4.840800,4.363400,17.66,2821.82,
63,4.840800,4.629400,17.57,2839.39,
64,4.840800,4.014400,38.11,2877.50,
65,4.840800,4.722200,17.77,2895.26,
66,4.840800,3.616200,17.23,2912.49,
67,4.840800,4.451600,17.78,2930.27,
68,4.840800,4.469000,17.45,2947.72,
69,4.840800,4.389400,17.81,2965.52,
70,4.840800,4.527400,94.35,3059.87,
71,4.840800,4.281000,17.93,3077.81,
72,4.840800,4.648200,17.62,3095.43,
73,5.225400,5.225400,17.52,3112.95,
74,5.225400,4.988600,17.58,3130.52,
75,5.225400,4.750800,17.59,3148.11,
76,5.225400,3.517200,17.66,3165.77,
77,5.225400,4.168400,17.90,3183.67,
78,5.225400,4.488400,17.92,3201.59,
79,5.225400,4.316600,19.08,3220.68,
80,5.225400,5.140600,93.81,3314.48,
81,5.225400,4.308800,17.92,3332.41,
82,5.225400,4.173200,17.55,3349.95,
83,5.225400,4.073400,17.49,3367.45,
84,5.225400,4.605000,17.60,3385.05,
85,5.225400,3.646600,17.68,3402.73,
86,5.225400,4.536800,17.63,3420.36,
87,5.225400,4.763600,17.48,3437.84,
88,5.225400,4.366800,17.36,3455.20,
89,5.225400,4.100400,17.46,3472.66,
90,5.225400,4.637200,97.58,3570.24,
91,5.225400,4.443800,17.36,3587.60,
92,5.225400,4.504400,17.90,3605.50,
93,5.225400,3.921200,17.92,3623.42,
94,5.225400,4.444600,17.56,3640.99,
95,5.225400,4.100800,17.58,3658.57,
96,5.225400,3.929400,38.03,3696.60,
97,5.225400,3.814000,17.71,3714.31,
98,5.225400,4.211400,17.45,3731.76,
99,5.225400,4.583800,17.63,3749.39,
100,5.225400,4.409200,96.79,3846.18,
101,5.225400,4.767600,18.21,3864.38,
102,5.225400,4.752600,17.21,3881.60,
103,5.225400,4.640400,17.84,3899.43,
104,5.225400,4.760200,17.98,3917.41,
105,5.225400,4.911800,18.33,3935.74,
106,5.225400,4.358600,18.00,3953.74,
107,5.225400,4.841200,17.37,3971.12,
108,5.225400,4.445800,17.42,3988.53,
109,5.225400,4.310800,17.44,4005.97,
110,5.225400,4.129800,97.86,4103.82,
111,5.225400,4.843800,18.12,4121.94,
112,5.225400,4.843400,17.42,4139.36,
113,5.225400,4.278400,17.47,4156.83,
114,5.225400,4.906200,17.49,4174.33,
115,5.225400,4.471200,17.68,4192.01,
116,5.225400,4.145200,17.65,4209.66,
117,5.225400,4.319200,18.09,4227.75,
118,5.225400,4.451600,17.78,4245.53,
119,5.225400,3.855000,17.16,4262.69,
120,5.225400,4.233400,100.15,4362.84,
121,5.225400,4.231800,18.21,4381.05,
122,5.225400,4.328400,17.49,4398.54,
123,5.225400,4.350400,17.69,4416.23,
124,5.225400,4.770400,17.65,4433.87,
125,5.225400,4.336000,17.51,4451.38,
126,5.225400,4.638000,17.51,4468.89,
127,5.225400,4.741400,17.37,4486.26,
128,5.225400,4.385800,38.09,4524.36,
129,5.225400,4.228600,17.82,4542.17,
130,5.225400,4.452200,104.20,4646.37,
131,5.225400,3.502400,17.80,4664.17,
132,5.225400,4.113600,17.28,4681.45,
133,5.225400,4.176000,17.53,4698.98,
134,5.225400,4.598800,17.70,4716.68,
135,5.225400,4.710400,17.35,4734.02,
136,5.225400,4.416400,17.33,4751.35,
137,5.225400,4.517000,17.34,4768.69,
138,5.225400,4.866600,17.53,4786.22,
139,5.225400,4.659600,17.43,4803.65,
140,5.225400,3.775800,105.85,4909.50,
141,5.225400,4.502800,17.83,4927.33,
142,5.225400,4.253600,17.76,4945.09,
143,5.225400,4.807800,17.91,4963.00,
144,5.225400,4.073800,17.44,4980.44,
145,5.225400,4.731400,17.83,4998.27,
146,5.225400,4.110800,17.48,5015.75,
147,5.225400,4.444200,17.52,5033.28,
148,5.225400,4.181400,17.49,5050.77,
149,5.225400,4.798200,17.47,5068.25,
150,5.225400,4.099200,101.50,5169.74,
151,5.225400,4.301600,18.32,5188.06,
152,5.225400,4.097600,17.55,5205.61,
153,5.225400,4.163400,17.44,5223.04,
154,5.225400,4.355600,17.51,5240.56,
155,5.225400,3.948800,17.53,5258.08,
156,5.225400,4.305400,17.43,5275.51,
157,5.225400,4.475400,17.57,5293.08,
158,5.225400,4.971600,17.75,5310.83,
159,5.225400,4.613600,17.82,5328.64,
160,5.225400,4.659000,125.33,5453.97,
161,5.225400,4.641600,17.89,5471.86,
162,5.225400,4.397800,17.46,5489.31,
163,5.225400,4.169400,17.26,5506.57,
164,5.225400,4.082600,17.50,5524.07,
165,5.225400,4.371000,17.29,5541.36,
166,5.225400,4.652000,17.37,5558.73,
167,5.225400,4.542600,17.25,5575.98,
168,5.225400,4.496600,17.77,5593.75,
169,5.225400,4.805000,17.44,5611.19,
170,5.225400,4.550000,112.09,5723.29,
171,5.225400,4.689800,17.86,5741.15,
172,5.225400,4.605600,17.48,5758.63,
173,5.225400,4.995600,17.58,5776.21,
