generation,mode,n_simulated,surrogate_rho,mean_std,selected_std,train_time_s,total_sims_saved
0,warmup,100,,,,10.20,0
1,warmup,100,0.1433,0.0617,,1.09,0
2,warmup,100,0.1720,0.1070,,1.67,0
3,warmup,100,0.1018,0.0791,,1.58,0
4,warmup,100,0.0446,0.0952,,1.61,0
5,warmup,100,0.2062,0.1114,,2.08,0
6,warmup,100,0.2276,0.1047,,3.17,0
7,warmup,100,0.0241,0.0893,,3.41,0
8,warmup,100,0.3944,0.1601,,2.86,0
9,warmup,100,0.1125,0.1347,,3.31,0
10,warmup,100,-0.1011,0.1565,,4.48,0
11,warmup,100,-0.0355,0.1080,,6.16,0
12,warmup,100,0.2281,0.1310,,5.58,0
13,warmup,100,-0.1240,0.0943,,4.29,0
14,warmup,100,0.1443,0.0980,,3.96,0
15,warmup,100,-0.2274,0.1401,,5.67,0
16,warmup,100,0.3017,0.1099,,6.56,0
17,warmup,100,0.0327,0.0927,,7.56,0
18,warmup,100,-0.0822,0.1619,,7.15,0
19,warmup,100,0.1697,0.1583,,7.56,0
20,control,100,0.1954,0.1118,,7.62,0
21,surrogate,20,,0.1580,0.2335,0.48,400
22,surrogate,20,,0.1248,0.1201,0.44,800
23,surrogate,20,,0.1113,0.1343,0.61,1200
24,surrogate,20,,0.0961,0.1088,0.36,1600
25,surrogate,20,,0.1079,0.1621,0.56,2000
26,surrogate,20,,0.0999,0.0965,0.37,2400
27,surrogate,20,,0.0976,0.0658,0.56,2800
28,surrogate,20,,0.1292,0.1172,0.33,3200
29,surrogate,20,,0.1231,0.0568,0.38,3600
30,control,100,0.5033,0.1303,,8.61,3600
31,surrogate,20,,0.1226,0.1301,0.47,4000
32,surrogate,20,,0.1122,0.0931,0.38,4400
33,surrogate,20,,0.1156,0.0868,0.42,4800
34,surrogate,20,,0.1213,0.1016,0.43,5200
35,surrogate,20,,0.1341,0.1410,0.59,5600
36,surrogate,20,,0.1269,0.1159,0.42,6000
37,surrogate,20,,0.1529,0.1649,0.47,6400
38,surrogate,20,,0.1774,0.1783,0.38,6800
39,surrogate,20,,0.2055,0.2069,0.45,7200
40,control,100,0.2473,0.1909,,9.41,7200
41,surrogate,20,,0.1268,0.1886,0.47,7600
42,surrogate,20,,0.1138,0.1058,0.34,8000
43,surrogate,20,,0.1154,0.0682,0.36,8400
44,surrogate,20,,0.1321,0.0987,0.45,8800
45,surrogate,20,,0.1375,0.0876,0.43,9200
46,surrogate,20,,0.1576,0.1081,0.42,9600
47,surrogate,20,,0.1589,0.0767,0.47,10000
48,surrogate,20,,0.1932,0.1592,0.37,10400
49,surrogate,20,,0.1775,0.0700,0.53,10800
50,control,100,0.5439,0.2193,,13.86,10800
51,surrogate,20,,0.1245,0.1523,0.46,11200
52,surrogate,20,,0.1180,0.0999,0.32,11600
53,surrogate,20,,0.1238,0.0993,0.47,12000
54,surrogate,20,,0.1374,0.1478,0.44,12400
55,surrogate,20,,0.1383,0.1144,0.42,12800
56,surrogate,20,,0.1402,0.0964,0.33,13200
57,surrogate,20,,0.1512,0.1198,0.38,13600
58,surrogate,20,,0.1511,0.0654,0.45,14000
59,surrogate,20,,0.1852,0.1299,0.40,14400
60,control,100,0.6329,0.1796,,12.00,14400
61,surrogate,20,,0.0724,0.0873,0.39,14800
62,surrogate,20,,0.0877,0.1626,0.32,15200
63,surrogate,20,,0.0805,0.1094,0.39,15600
64,surrogate,20,,0.0967,0.1513,0.37,16000
65,surrogate,20,,0.1012,0.0933,0.58,16400
66,surrogate,20,,0.1054,0.0656,0.37,16800
67,surrogate,20,,0.1223,0.0496,0.59,17200
68,surrogate,20,,0.1472,0.0965,0.35,17600
69,surrogate,20,,0.1699,0.1035,0.54,18000
70,control,100,0.3735,0.2046,,14.81,18000
71,surrogate,20,,0.0955,0.1563,0.44,18400
72,surrogate,20,,0.0869,0.1122,0.41,18800
73,surrogate,20,,0.0777,0.0845,0.41,19200
74,surrogate,20,,0.0983,0.1708,0.33,19600
75,surrogate,20,,0.1028,0.1448,0.47,20000
76,surrogate,20,,0.1023,0.0799,0.37,20400
77,surrogate,20,,0.1133,0.0560,0.42,20800
78,surrogate,20,,0.1475,0.1621,0.36,21200
79,surrogate,20,,0.1561,0.1415,0.40,21600
80,control,100,0.6271,0.1611,,15.02,21600
81,surrogate,20,,0.0929,0.1687,0.46,22000
82,surrogate,20,,0.0909,0.1694,0.31,22400
83,surrogate,20,,0.0706,0.0833,0.37,22800
84,surrogate,20,,0.0794,0.1269,0.39,23200
85,surrogate,20,,0.0776,0.1212,0.61,23600
86,surrogate,20,,0.0851,0.0952,0.43,24000
87,surrogate,20,,0.1051,0.1291,0.39,24400
88,surrogate,20,,0.1226,0.0928,0.30,24800
89,surrogate,20,,0.1637,0.1345,0.37,25200
90,control,100,0.7656,0.1989,,18.38,25200
91,surrogate,20,,0.0912,0.1059,0.36,25600
92,surrogate,20,,0.0896,0.1007,0.36,26000
93,surrogate,20,,0.0995,0.1299,0.50,26400
94,surrogate,20,,0.0913,0.0721,0.46,26800
95,surrogate,20,,0.1138,0.1603,0.38,27200
96,surrogate,20,,0.1184,0.1394,0.42,27600
97,surrogate,20,,0.1221,0.1000,0.53,28000
98,surrogate,20,,0.1442,0.1334,0.47,28400
99,surrogate,20,,0.1728,0.1042,0.57,28800
100,control,100,0.6432,0.1955,,17.95,28800
101,surrogate,20,,0.0957,0.2072,0.37,29200
102,surrogate,20,,0.0847,0.1762,0.39,29600
103,surrogate,20,,0.0707,0.0883,0.45,30000
104,surrogate,20,,0.0663,0.0792,0.46,30400
105,surrogate,20,,0.0706,0.0839,0.53,30800
106,surrogate,20,,0.1033,0.2331,0.36,31200
107,surrogate,20,,0.0939,0.1358,0.42,31600
108,surrogate,20,,0.1376,0.1840,0.36,32000
109,surrogate,20,,0.1664,0.1376,0.38,32400
110,control,100,0.4233,0.2041,,19.37,32400
111,surrogate,20,,0.0863,0.1816,0.39,32800
112,surrogate,20,,0.0749,0.0964,0.39,33200
113,surrogate,20,,0.0837,0.1352,0.48,33600
114,surrogate,20,,0.0875,0.1688,0.35,34000
115,surrogate,20,,0.0790,0.1618,0.42,34400
116,surrogate,20,,0.0685,0.0914,0.43,34800
117,surrogate,20,,0.0944,0.1355,0.60,35200
118,surrogate,20,,0.1135,0.1578,0.43,35600
119,surrogate,20,,0.1351,0.2473,0.44,36000
120,control,100,0.4021,0.0998,,21.23,36000
121,surrogate,20,,0.1154,0.2244,0.40,36400
122,surrogate,20,,0.0914,0.1487,0.43,36800
123,surrogate,20,,0.0784,0.1015,0.40,37200
124,surrogate,20,,0.0743,0.1051,0.32,37600
125,surrogate,20,,0.0825,0.1057,0.41,38000
126,surrogate,20,,0.1067,0.1520,0.39,38400
127,surrogate,20,,0.1158,0.0878,0.41,38800
128,surrogate,20,,0.1572,0.1392,0.34,39200
129,surrogate,20,,0.2202,0.2268,0.43,39600
130,control,100,0.2707,0.2622,,24.89,39600
131,surrogate,20,,0.0995,0.2242,0.57,40000
132,surrogate,20,,0.0756,0.1303,0.38,40400
133,surrogate,20,,0.0737,0.1027,0.42,40800
134,surrogate,20,,0.0894,0.1248,0.36,41200
135,surrogate,20,,0.0926,0.1271,0.36,41600
136,surrogate,20,,0.1129,0.1096,0.46,42000
137,surrogate,20,,0.1770,0.1122,0.39,42400
138,surrogate,20,,0.2480,0.1269,0.46,42800
139,surrogate,20,,0.3137,0.1295,0.34,43200
140,control,100,0.5157,0.3736,,26.60,43200
141,surrogate,20,,0.0901,0.1137,0.42,43600
142,surrogate,20,,0.0854,0.1342,0.37,44000
143,surrogate,20,,0.0754,0.0909,0.38,44400
144,surrogate,20,,0.0731,0.1201,0.36,44800
145,surrogate,20,,0.0629,0.0861,0.49,45200
146,surrogate,20,,0.0904,0.1931,0.40,45600
147,surrogate,20,,0.0793,0.0666,0.53,46000
148,surrogate,20,,0.1279,0.1677,0.44,46400
149,surrogate,20,,0.1836,0.1514,0.34,46800
150,control,100,0.4215,0.2618,,22.97,46800
151,surrogate,20,,0.0910,0.1193,0.45,47200
152,surrogate,20,,0.0785,0.0919,0.32,47600
153,surrogate,20,,0.0761,0.0854,0.56,48000
154,surrogate,20,,0.0790,0.1020,0.34,48400
155,surrogate,20,,0.1012,0.1901,0.37,48800
156,surrogate,20,,0.1032,0.0955,0.37,49200
157,surrogate,20,,0.1471,0.1652,0.53,49600
158,surrogate,20,,0.1887,0.1400,0.36,50000
159,surrogate,20,,0.2231,0.0968,0.36,50400
160,control,100,0.4137,0.2677,,25.86,50400
161,surrogate,20,,0.1131,0.1649,0.39,50800
162,surrogate,20,,0.1061,0.0985,0.42,51200
163,surrogate,20,,0.1106,0.1040,0.44,51600
164,surrogate,20,,0.1073,0.0860,0.34,52000
165,surrogate,20,,0.1165,0.1692,0.43,52400
166,surrogate,20,,0.1173,0.1726,0.42,52800
167,surrogate,20,,0.1200,0.1069,0.43,53200
168,surrogate,20,,0.1607,0.1351,0.40,53600
169,surrogate,20,,0.1895,0.1067,0.52,54000
170,control,100,0.6712,0.2470,,32.77,54000
171,surrogate,20,,0.1261,0.1364,0.43,54400
172,surrogate,20,,0.1211,0.0906,0.39,54800
173,surrogate,20,,0.1234,0.0834,0.47,55200
174,surrogate,20,,0.1896,0.2823,0.37,55600
175,surrogate,20,,0.1929,0.1008,0.38,56000
176,surrogate,20,,0.2333,0.2133,0.37,56400
177,surrogate,20,,0.2131,0.1088,0.42,56800
178,surrogate,20,,0.2686,0.1829,0.39,57200
179,surrogate,20,,0.2803,0.1270,0.41,57600
180,control,100,0.7031,0.2075,,27.00,57600
181,surrogate,20,,0.0799,0.1181,0.50,58000
182,surrogate,20,,0.0773,0.1483,0.39,58400
183,surrogate,20,,0.0634,0.0790,0.43,58800
184,surrogate,20,,0.0752,0.1205,0.45,59200
185,surrogate,20,,0.0710,0.1186,0.50,59600
186,surrogate,20,,0.0866,0.1333,0.44,60000
187,surrogate,20,,0.0865,0.0986,0.58,60400
188,surrogate,20,,0.0836,0.0851,0.39,60800
189,surrogate,20,,0.0876,0.0846,0.44,61200
190,control,100,0.7142,0.1089,,24.33,61200
191,surrogate,20,,0.1132,0.0943,0.48,61600
192,surrogate,20,,0.1068,0.1089,0.35,62000
193,surrogate,20,,0.1020,0.0832,0.41,62400
194,surrogate,20,,0.1050,0.1011,0.40,62800
195,surrogate,20,,0.1101,0.0963,0.42,63200
196,surrogate,20,,0.1135,0.0881,0.39,63600
197,surrogate,20,,0.1287,0.1267,0.46,64000
198,surrogate,20,,0.1484,0.0887,0.38,64400
199,surrogate,20,,0.1687,0.0892,0.34,64800
200,control,100,0.5339,0.1869,,30.11,64800
201,surrogate,20,,0.0843,0.1121,0.39,65200
202,surrogate,20,,0.0819,0.0982,0.37,65600
203,surrogate,20,,0.0881,0.1171,0.48,66000
204,surrogate,20,,0.0714,0.0483,0.42,66400
205,surrogate,20,,0.0678,0.0401,0.61,66800
206,surrogate,20,,0.0777,0.0611,0.43,67200
207,surrogate,20,,0.0948,0.0652,0.44,67600
208,surrogate,20,,0.1392,0.0514,0.46,68000
209,surrogate,20,,0.1734,0.0785,0.55,68400
210,control,100,0.4527,0.2113,,32.42,68400
211,surrogate,20,,0.0881,0.1559,0.44,68800
212,surrogate,20,,0.0841,0.1406,0.33,69200
213,surrogate,20,,0.0750,0.0808,0.53,69600
214,surrogate,20,,0.0766,0.0737,0.37,70000
215,surrogate,20,,0.0901,0.0830,0.32,70400
216,surrogate,20,,0.0987,0.0594,0.40,70800
217,surrogate,20,,0.1256,0.0744,0.36,71200
218,surrogate,20,,0.1698,0.0634,0.40,71600
219,surrogate,20,,0.2350,0.2989,0.53,72000
220,control,100,0.3799,0.2116,,31.32,72000
221,surrogate,20,,0.1062,0.2071,0.44,72400
222,surrogate,20,,0.0979,0.1661,0.42,72800
223,surrogate,20,,0.1047,0.1498,0.58,73200
224,surrogate,20,,0.1103,0.1416,0.39,73600
225,surrogate,20,,0.0708,0.0558,0.50,74000
226,surrogate,20,,0.0837,0.0602,0.41,74400
227,surrogate,20,,0.1231,0.1084,0.50,74800
228,surrogate,20,,0.1393,0.0543,0.50,75200
229,surrogate,20,,0.1476,0.0905,0.53,75600
230,control,100,0.5341,0.1731,,33.60,75600
231,surrogate,20,,0.0720,0.1350,0.37,76000
232,surrogate,20,,0.0643,0.0785,0.34,76400
233,surrogate,20,,0.0758,0.1219,0.34,76800
234,surrogate,20,,0.0776,0.1134,0.38,77200
235,surrogate,20,,0.0722,0.0594,0.57,77600
236,surrogate,20,,0.1190,0.1130,0.36,78000
237,surrogate,20,,0.1474,0.1336,0.39,78400
238,surrogate,20,,0.1753,0.1407,0.45,78800
239,surrogate,20,,0.2166,0.1004,0.34,79200
240,control,100,0.3834,0.2601,,46.90,79200
241,surrogate,20,,0.0777,0.1604,0.44,79600
242,surrogate,20,,0.0676,0.1349,0.45,80000
243,surrogate,20,,0.0638,0.1134,0.48,80400
244,surrogate,20,,0.0732,0.1665,0.36,80800
245,surrogate,20,,0.0715,0.1297,0.47,81200
246,surrogate,20,,0.0825,0.1524,0.36,81600
247,surrogate,20,,0.0711,0.0684,0.37,82000
248,surrogate,20,,0.0852,0.0498,0.39,82400
249,surrogate,20,,0.1350,0.1345,0.45,82800
250,control,100,0.6477,0.2011,,35.53,82800
251,surrogate,20,,0.0824,0.1206,0.36,83200
252,surrogate,20,,0.0696,0.0746,0.31,83600
253,surrogate,20,,0.0612,0.0393,0.61,84000
254,surrogate,20,,0.0760,0.1232,0.44,84400
255,surrogate,20,,0.0707,0.1025,0.41,84800
256,surrogate,20,,0.0686,0.0593,0.44,85200
257,surrogate,20,,0.0836,0.0693,0.42,85600
258,surrogate,20,,0.0979,0.0549,0.37,86000
259,surrogate,20,,0.1409,0.1858,0.45,86400
260,control,100,0.7242,0.1622,,36.67,86400
261,surrogate,20,,0.0917,0.1462,0.40,86800
262,surrogate,20,,0.0932,0.1100,0.42,87200
263,surrogate,20,,0.0893,0.0787,0.42,87600
264,surrogate,20,,0.1041,0.0798,0.44,88000
265,surrogate,20,,0.1202,0.1077,0.47,88400
266,surrogate,20,,0.1227,0.1091,0.41,88800
267,surrogate,20,,0.1458,0.1321,0.46,89200
268,surrogate,20,,0.1531,0.1633,0.47,89600
269,surrogate,20,,0.1082,0.0545,0.47,90000
270,control,100,0.7593,0.1097,,40.77,90000
271,surrogate,20,,0.0716,0.1140,0.55,90400
272,surrogate,20,,0.0657,0.1004,0.44,90800
273,surrogate,20,,0.0545,0.0747,0.44,91200
274,surrogate,20,,0.0486,0.0546,0.46,91600
275,surrogate,20,,0.0648,0.1194,0.38,92000
276,surrogate,20,,0.0801,0.1504,0.34,92400
277,surrogate,20,,0.0886,0.1635,0.34,92800
278,surrogate,20,,0.0867,0.0856,0.41,93200
279,surrogate,20,,0.1074,0.0990,0.48,93600
280,control,100,0.7780,0.1483,,31.17,93600
281,surrogate,20,,0.0885,0.0599,0.46,94000
282,surrogate,20,,0.0930,0.0934,0.45,94400
283,surrogate,20,,0.0825,0.0849,0.47,94800
284,surrogate,20,,0.0805,0.0606,0.41,95200
285,surrogate,20,,0.1067,0.1002,0.40,95600
286,surrogate,20,,0.1184,0.0599,0.37,96000
287,surrogate,20,,0.1389,0.2442,0.59,96400
288,surrogate,20,,0.1069,0.0767,0.44,96800
289,surrogate,20,,0.1284,0.1725,0.40,97200
290,control,100,0.6536,0.1552,,30.46,97200
291,surrogate,20,,0.0859,0.0697,0.42,97600
292,surrogate,20,,0.0873,0.0916,0.45,98000
293,surrogate,20,,0.0863,0.1374,0.44,98400
294,surrogate,20,,0.0592,0.0493,0.33,98800
295,surrogate,20,,0.0668,0.0754,0.44,99200
296,surrogate,20,,0.0793,0.1347,0.38,99600
297,surrogate,20,,0.0929,0.1918,0.48,100000
298,surrogate,20,,0.0818,0.0983,0.43,100400
299,surrogate,20,,0.0907,0.0562,0.56,100800
