generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
0,3.488000,3.488000,123.24,123.24,
1,3.488000,3.458200,112.71,235.94,
2,3.692000,3.692000,114.06,350.00,
3,3.801800,3.801800,115.86,465.86,
4,3.847200,3.847200,117.56,583.42,
5,4.018200,4.018200,114.99,698.41,
6,4.077200,4.077200,116.87,815.27,
7,4.206200,4.206200,116.14,931.41,
8,4.255800,4.255800,116.96,1048.37,
9,4.372800,4.372800,117.46,1165.83,
10,4.372800,4.314800,116.61,1282.44,
11,4.470400,4.470400,117.42,1399.86,
12,4.470400,4.408400,119.59,1519.45,
13,4.470400,4.470000,116.93,1636.39,
14,4.660200,4.660200,117.77,1754.15,
15,4.660200,4.540800,119.81,1873.96,
16,4.821000,4.821000,121.04,1995.00,
17,4.821000,4.734600,121.86,2116.86,
18,4.835600,4.835600,123.94,2240.79,
19,4.909200,4.909200,123.25,2364.05,
20,4.966200,4.966200,121.06,2485.11,
21,4.968400,4.968400,25.00,2510.11,
22,4.968400,4.879400,24.53,2534.64,
23,5.152400,5.152400,24.45,2559.09,
24,5.259200,5.259200,24.51,2583.60,
25,5.328200,5.328200,24.73,2608.33,
26,5.328200,5.132000,24.96,2633.29,
27,5.328200,5.148000,24.51,2657.81,
28,5.470200,5.470200,24.49,2682.30,
29,5.470200,5.325000,24.73,2707.03,
30,5.470200,5.344800,121.52,2828.55,
31,5.470200,5.334400,28.11,2856.66,
32,5.470200,5.433400,24.80,2881.46,
33,5.492000,5.492000,24.48,2905.94,
34,5.518400,5.518400,24.99,2930.93,
35,5.518400,5.429400,24.43,2955.36,
36,5.524000,5.524000,25.99,2981.35,
37,5.650400,5.650400,24.96,3006.31,
38,5.710600,5.710600,24.76,3031.07,
39,5.710600,5.685000,54.04,3085.11,
40,5.764800,5.764800,121.27,3206.38,
41,5.764800,5.726000,26.59,3232.97,
42,5.905400,5.905400,24.94,3257.92,
43,5.905400,5.810800,24.78,3282.70,
44,5.905400,5.869600,24.52,3307.22,
45,5.905400,5.853600,24.98,3332.20,
46,5.905400,5.798400,24.77,3356.97,
47,5.990200,5.990200,24.37,3381.34,
48,5.990200,5.938600,25.11,3406.45,
49,5.990200,5.976800,24.66,3431.11,
50,5.990200,5.766400,121.91,3553.01,
51,5.990200,5.803200,26.15,3579.16,
52,5.990200,5.772200,24.63,3603.79,
53,5.990200,5.767400,24.66,3628.45,
54,5.990200,5.977400,24.89,3653.34,
55,6.044600,6.044600,24.67,3678.01,
56,6.044600,5.992400,24.89,3702.90,
57,6.044600,5.878600,24.54,3727.44,
58,6.073600,6.073600,24.80,3752.24,
59,6.073600,5.885400,24.66,3776.91,
60,6.096200,6.096200,122.71,3899.62,
61,6.114800,6.114800,26.30,3925.91,
62,6.114800,6.045000,24.74,3950.65,
63,6.253000,6.253000,25.02,3975.67,
64,6.253000,6.199200,24.43,4000.09,
65,6.253000,6.189000,24.39,4024.48,
66,6.290600,6.290600,24.66,4049.14,
67,6.290600,6.234000,24.83,4073.97,
68,6.312400,6.312400,25.12,4099.08,
69,6.323200,6.323200,24.89,4123.98,
70,6.377200,6.377200,124.68,4248.66,
71,6.377200,6.246200,24.82,4273.48,
72,6.377200,6.310200,24.66,4298.13,
73,6.396400,6.396400,24.63,4322.76,
74,6.396400,6.365600,24.67,4347.43,
75,6.473800,6.473800,25.68,4373.11,
76,6.473800,6.372200,24.75,4397.86,
77,6.473800,6.325200,24.84,4422.71,
78,6.473800,6.384200,53.65,4476.36,
79,6.481000,6.481000,25.36,4501.72,
80,6.520800,6.520800,123.92,4625.63,
81,6.520800,6.495200,27.02,4652.65,
82,6.520800,6.462000,24.62,4677.27,
83,6.525200,6.525200,24.44,4701.71,
