generation,mode,n_simulated,surrogate_rho,mean_std,selected_std,train_time_s,total_sims_saved
0,warmup,100,,,,11.26,0
1,warmup,100,0.1755,0.0574,,0.91,0
2,warmup,100,0.2696,0.0436,,1.05,0
3,warmup,100,0.1960,0.0620,,1.76,0
4,warmup,100,0.3456,0.0427,,1.90,0
5,warmup,100,0.2292,0.0492,,2.51,0
6,warmup,100,0.4419,0.0489,,2.26,0
7,warmup,100,0.3354,0.0507,,2.30,0
8,warmup,100,0.3939,0.0592,,2.54,0
9,warmup,100,0.3483,0.0491,,2.88,0
10,warmup,100,0.3187,0.0597,,3.57,0
11,warmup,100,0.2670,0.0456,,4.15,0
12,warmup,100,0.4648,0.0544,,4.53,0
13,warmup,100,0.4648,0.0433,,3.80,0
14,warmup,100,0.5285,0.0508,,4.25,0
15,warmup,100,0.4042,0.0767,,5.58,0
16,warmup,100,0.3833,0.0488,,6.46,0
17,warmup,100,0.3798,0.0760,,7.24,0
18,warmup,100,0.2135,0.0440,,7.14,0
19,warmup,100,0.2756,0.0688,,9.68,0
20,control,100,0.3687,0.0607,,5.44,0
21,surrogate,20,,0.0673,0.0792,0.43,400
22,surrogate,20,,0.0548,0.0314,0.34,800
23,surrogate,20,,0.0543,0.0309,0.47,1200
24,surrogate,20,,0.0578,0.0525,0.45,1600
25,surrogate,20,,0.0643,0.0588,0.48,2000
26,surrogate,20,,0.0659,0.0511,0.34,2400
27,surrogate,20,,0.0684,0.0522,0.42,2800
28,surrogate,20,,0.0702,0.0485,0.46,3200
29,surrogate,20,,0.0751,0.0824,0.52,3600
30,control,100,0.6410,0.0790,,7.35,3600
31,surrogate,20,,0.0974,0.0968,0.20,4000
32,surrogate,20,,0.0831,0.0304,0.46,4400
33,surrogate,20,,0.0910,0.0683,0.44,4800
34,surrogate,20,,0.0856,0.0526,0.47,5200
35,surrogate,20,,0.0860,0.0604,0.45,5600
36,surrogate,20,,0.0814,0.0610,0.38,6000
37,surrogate,20,,0.0845,0.0706,0.41,6400
38,surrogate,20,,0.0869,0.0838,0.41,6800
39,surrogate,20,,0.0854,0.0802,0.34,7200
40,control,100,0.7032,0.0911,,8.03,7200
41,surrogate,20,,0.0547,0.0634,0.41,7600
42,surrogate,20,,0.0509,0.0425,0.39,8000
43,surrogate,20,,0.0580,0.0632,0.45,8400
44,surrogate,20,,0.0578,0.0541,0.45,8800
45,surrogate,20,,0.0641,0.0747,0.42,9200
46,surrogate,20,,0.0583,0.0453,0.34,9600
47,surrogate,20,,0.0602,0.0463,0.42,10000
48,surrogate,20,,0.0648,0.0542,0.44,10400
49,surrogate,20,,0.0655,0.0469,0.40,10800
50,control,100,0.6574,0.0649,,8.01,10800
51,surrogate,20,,0.0513,0.0679,0.33,11200
52,surrogate,20,,0.0504,0.0643,0.42,11600
53,surrogate,20,,0.0456,0.0417,0.45,12000
54,surrogate,20,,0.0473,0.0494,0.42,12400
55,surrogate,20,,0.0558,0.0978,0.46,12800
56,surrogate,20,,0.0445,0.0452,0.47,13200
57,surrogate,20,,0.0433,0.0427,0.42,13600
58,surrogate,20,,0.0442,0.0425,0.39,14000
59,surrogate,20,,0.0524,0.0729,0.37,14400
60,control,100,0.7951,0.0470,,9.78,14400
61,surrogate,20,,0.0825,0.1145,0.37,14800
62,surrogate,20,,0.0715,0.0756,0.39,15200
63,surrogate,20,,0.0703,0.0757,0.47,15600
64,surrogate,20,,0.0699,0.0763,0.42,16000
65,surrogate,20,,0.0684,0.0791,0.36,16400
66,surrogate,20,,0.0642,0.0616,0.44,16800
67,surrogate,20,,0.0719,0.1100,0.47,17200
68,surrogate,20,,0.0691,0.0949,0.36,17600
69,surrogate,20,,0.0705,0.1012,0.43,18000
70,control,100,0.7811,0.0637,,11.47,18000
71,surrogate,20,,0.0491,0.0731,0.34,18400
72,surrogate,20,,0.0498,0.0688,0.42,18800
73,surrogate,20,,0.0479,0.0516,0.36,19200
74,surrogate,20,,0.0552,0.0796,0.31,19600
75,surrogate,20,,0.0575,0.0771,0.43,20000
76,surrogate,20,,0.0552,0.0542,0.39,20400
77,surrogate,20,,0.0632,0.0721,0.36,20800
78,surrogate,20,,0.0590,0.0328,0.36,21200
79,surrogate,20,,0.0656,0.0622,0.42,21600
80,control,100,0.6093,0.0783,,10.81,21600
81,surrogate,20,,0.0540,0.1325,0.33,22000
82,surrogate,20,,0.0525,0.1257,0.32,22400
83,surrogate,20,,0.0452,0.0905,0.40,22800
84,surrogate,20,,0.0458,0.0944,0.35,23200
85,surrogate,20,,0.0452,0.0948,0.36,23600
86,surrogate,20,,0.0425,0.0797,0.35,24000
87,surrogate,20,,0.0367,0.0521,0.45,24400
88,surrogate,20,,0.0365,0.0486,0.33,24800
89,surrogate,20,,0.0363,0.0478,0.42,25200
90,control,100,0.6653,0.0380,,8.83,25200
91,surrogate,20,,0.0564,0.0931,0.34,25600
92,surrogate,20,,0.0540,0.0672,0.44,26000
93,surrogate,20,,0.0515,0.0584,0.39,26400
94,surrogate,20,,0.0518,0.0575,0.36,26800
95,surrogate,20,,0.0526,0.0588,0.39,27200
96,surrogate,20,,0.0521,0.0518,0.39,27600
97,surrogate,20,,0.0547,0.0634,0.37,28000
98,surrogate,20,,0.0569,0.0747,0.45,28400
99,surrogate,20,,0.0510,0.0311,0.33,28800
100,control,100,0.7632,0.0605,,12.52,28800
101,surrogate,20,,0.0601,0.1269,0.46,29200
102,surrogate,20,,0.0597,0.1241,0.43,29600
103,surrogate,20,,0.0564,0.1071,0.38,30000
104,surrogate,20,,0.0642,0.1266,0.43,30400
105,surrogate,20,,0.0598,0.0964,0.47,30800
106,surrogate,20,,0.0660,0.1197,0.39,31200
107,surrogate,20,,0.0678,0.1183,0.41,31600
108,surrogate,20,,0.0780,0.1603,0.42,32000
109,surrogate,20,,0.0763,0.1397,0.43,32400
110,control,100,0.7961,0.0764,,13.67,32400
111,surrogate,20,,0.0674,0.1771,0.54,32800
112,surrogate,20,,0.0655,0.1491,0.32,33200
113,surrogate,20,,0.0630,0.1302,0.38,33600
114,surrogate,20,,0.0632,0.1128,0.34,34000
